Reg,Bidding History,Bidding Status
YP10 PBZ,['£500'],Reserve not met
YP10 PBZ,"['£750', '£725', '£700', '£675', '£650', '£625', '£600', '£575', '£550', '£525', '£500']",Provisional
YP10 PBZ,"['£750', '£725', '£700', '£675', '£650', '£625', '£600', '£575', '£550', '£525', '£500']",On Sale
YP10 PBZ,"['£775', '£750', '£725', '£700', '£675', '£650', '£625', '£600', '£575', '£550', '£525', '£500']",On Sale
BK59 OBW,['£500'],Reserve not met
BK59 OBW,"['£725', '£700', '£600', '£500']",On Sale
BK59 OBW,"['£725', '£700', '£600', '£500']",On Sale
BK59 OBW,"['£775', '£750', '£725', '£700', '£600', '£500']",On Sale
BK59 OBW,"['£800', '£775', '£750', '£725', '£700', '£600', '£500']",On Sale
BK59 OBW,"['£825', '£800', '£775', '£750', '£725', '£700', '£600', '£500']",On Sale
BK59 OBW,"['£825', '£800', '£775', '£750', '£725', '£700', '£600', '£500']",On Sale
SJ10 ZGD,['£300'],Reserve not met
SJ10 ZGD,"['£475', '£450', '£425', '£400', '£375', '£350', '£325', '£300']",Provisional
SJ10 ZGD,"['£500', '£475', '£450', '£425', '£400', '£375', '£350', '£325', '£300']",On Sale
SJ10 ZGD,"['£525', '£500', '£475', '£450', '£425', '£400', '£375', '£350', '£325', '£300']",On Sale
SJ10 ZGD,"['£550', '£525', '£500', '£475', '£450', '£425', '£400', '£375', '£350', '£325', '£300']",On Sale
WF53 UBL,['£100'],Reserve not met
WF53 UBL,"['£400', '£300', '£200', '£100']",On Sale
WF53 UBL,"['£525', '£500', '£475', '£450', '£425', '£400', '£300', '£200', '£100']",On Sale
WF53 UBL,"['£525', '£500', '£475', '£450', '£425', '£400', '£300', '£200', '£100']",On Sale
WF53 UBL,"['£525', '£500', '£475', '£450', '£425', '£400', '£300', '£200', '£100']",On Sale
DU07 OGD,['£200'],Reserve not met
DU07 OGD,"['£425', '£400', '£375', '£350', '£325', '£300', '£275', '£250', '£200']",Reserve not met
DU07 OGD,"['£450', '£425', '£400', '£375', '£350', '£325', '£300', '£275', '£250', '£200']",Reserve not met
DU07 OGD,"['£450', '£425', '£400', '£375', '£350', '£325', '£300', '£275', '£250', '£200']",On Sale
CX11 YVZ,"['£300', '£200']",On Sale
CX11 YVZ,"['£300', '£200']",On Sale
BV13 JBO,['£200'],Reserve not met
BV13 JBO,"['£325', '£300', '£275', '£250', '£225', '£200']",Reserve not met
BV13 JBO,"['£425', '£400', '£375', '£350', '£325', '£300', '£275', '£250', '£225', '£200']",Reserve not met
BV13 JBO,"['£425', '£400', '£375', '£350', '£325', '£300', '£275', '£250', '£225', '£200']",Reserve not met
BV13 JBO,"['£425', '£400', '£375', '£350', '£325', '£300', '£275', '£250', '£225', '£200']",Reserve not met
BV13 JBO,"['£450', '£425', '£400', '£375', '£350', '£325', '£300', '£275', '£250', '£225', '£200']",On Sale
BV13 JBO,"['£475', '£450', '£425', '£400', '£375', '£350', '£325', '£300', '£275', '£250', '£225', '£200']",On Sale
BV13 JBO,"['£475', '£450', '£425', '£400', '£375', '£350', '£325', '£300', '£275', '£250', '£225', '£200']",On Sale
AK06 MZO,"['£175', '£150', '£100']",Reserve not met
AK06 MZO,"['£225', '£200', '£175', '£150', '£100']",Reserve not met
AK06 MZO,"['£250', '£225', '£200', '£175', '£150', '£100']",On Sale
AK06 MZO,"['£250', '£225', '£200', '£175', '£150', '£100']",On Sale
SE12 NFH,"['£300', '£200']",On Sale
SE12 NFH,"['£300', '£200']",On Sale
SE12 NFH,"['£300', '£200']",On Sale
SE12 NFH,"['£300', '£200']",On Sale
HF14 ZPP,"['£600', '£500']",Reserve not met
HF14 ZPP,"['£725', '£700', '£650', '£600', '£500']",Provisional
HF14 ZPP,"['£725', '£700', '£650', '£600', '£500']",Provisional
HF14 ZPP,"['£725', '£700', '£650', '£600', '£500']",On Sale
MA08 FBF,['£700'],Reserve not met
MA08 FBF,"['£1,100', '£1,050', '£1,000', '£900', '£800', '£700']",Provisional
MA08 FBF,"['£1,100', '£1,050', '£1,000', '£900', '£800', '£700']",Provisional
MA08 FBF,"['£1,125', '£1,100', '£1,050', '£1,000', '£900', '£800', '£700']",Provisional
MA08 FBF,"['£1,125', '£1,100', '£1,050', '£1,000', '£900', '£800', '£700']",On Sale
RO59 RTV,['£400'],Reserve not met
RO59 RTV,"['£525', '£500', '£475', '£450', '£425', '£400']",Reserve not met
RO59 RTV,"['£550', '£525', '£500', '£475', '£450', '£425', '£400']",On Sale
RO59 RTV,"['£550', '£525', '£500', '£475', '£450', '£425', '£400']",On Sale
LK54 OGF,['£300'],Reserve not met
LK54 OGF,"['£450', '£425', '£400', '£375', '£350', '£325', '£300']",Reserve not met
LK54 OGF,"['£450', '£425', '£400', '£375', '£350', '£325', '£300']",Reserve not met
LK54 OGF,"['£450', '£425', '£400', '£375', '£350', '£325', '£300']",On Sale
DX63 KFV,['£300'],Reserve not met
DX63 KFV,"['£425', '£400', '£375', '£350', '£325', '£300']",Reserve not met
DX63 KFV,"['£425', '£400', '£375', '£350', '£325', '£300']",On Sale
DX63 KFV,"['£450', '£425', '£400', '£375', '£350', '£325', '£300']",On Sale
DX63 KFV,"['£475', '£450', '£425', '£400', '£375', '£350', '£325', '£300']",On Sale
SG62 MYZ,['£300'],Reserve not met
