Reg,Title,Make,Model,Variant,Start date,Start time,Mileage,Former Keepers,CC,MOT Expiry Date,D.O.R,Doors,Seats,Mileage Warranted,Center,Euro Status,Fuel Type,Transmission,Colour,Body Type,id
YH70TYF,FORD PUMA TITANIUM,FORD,PUMA,TITANIUM,03/12/2025,10:00,57997,1,1.0,22/10/2025,16/10/2020,5,5,Not warranted,G3 Bedford,6,Petrol,Black,Manual,Hatchback,121638
LO14MME,BMW X5 XDRIVE30D M SPORT,BMW,X5,XDRIVE30D M SPORT,03/12/2025,10:00,73910,5,3.0,23/01/2026,10/06/2014,5,5,Not warranted,G3 Bedford,6,Diesel,Black,Automatic,Estate,119153
GU69CCN,LEXUS IS 300H,LEXUS,IS,300H,03/12/2025,10:00,54671,1,2.5,09/05/2026,26/11/2019,4,5,Not warranted,G3 Bedford,6,Hybrid Electric,Red,Automatic,Saloon,120017
M70MAE,BMW 3 SERIES M3 COMPETITION PACKAGE,BMW,3 SERIES,M3 COMPETITION PACKAGE,03/12/2025,10:00,72112,6,3.0,18/04/2026,15/03/2018,4,5,Not warranted,G3 Bedford,6,Petrol,Black,Automatic,Saloon,120960
WG20NCC,AUDI A3 S3 SPORTBACK TFSI QUATTRO BLACK EDITION,AUDI,A3,S3 SPORTBACK TFSI QUATTRO BLACK EDITION,03/12/2025,10:00,76559,3,2.0,28/07/2025,22/07/2020,5,5,Not warranted,G3 Bedford,6,Petrol,Black,Automatic,Hatchback,120957
WP15XAK,MERCEDES CLA CLA45 AMG 4MATIC,MERCEDES,CLA,CLA45 AMG 4MATIC,03/12/2025,10:00,74751,8,2.0,21/10/2026,23/05/2015,4,5,Not warranted,G3 Bedford,6,Petrol,White,Automatic,Saloon,121625
WG19HEU,BMW 1 SERIES 118I M SPORT SHADOW EDITION,BMW,1 SERIES,118I M SPORT SHADOW EDITION,03/12/2025,10:00,69132,1,1.5,27/02/2026,29/03/2019,5,5,Not warranted,G3 Bedford,6,Petrol,Black,Manual,Hatchback,121620
LP72PSU,MAZDA CX-5 SPORT EDITION,MAZDA,CX-5,SPORT EDITION,03/12/2025,10:00,36460,1,2.0,18/01/2026,18/01/2023,5,5,Not warranted,G3 Bedford,6,Petrol,Black,Manual,Estate,120012
RJ74ZNV,KIA CEED GT-LINE,KIA,CEED,GT-LINE,03/12/2025,10:00,20993,0,1.5,17/12/2027,17/12/2024,5,5,Not warranted,G3 Bedford,6,Petrol,Red,Manual,Hatchback,119924
RF74GEU,KIA CEED GT-LINE,KIA,CEED,GT-LINE,03/12/2025,10:00,16697,0,1.5,30/01/2028,30/01/2025,5,5,Not warranted,G3 Bedford,6,Petrol,Red,Manual,Hatchback,119928
RF74GFX,KIA CEED GT-LINE,KIA,CEED,GT-LINE,03/12/2025,10:00,12916,0,1.5,30/01/2028,30/01/2025,5,5,Not warranted,G3 Bedford,6,Petrol,Red,Manual,Hatchback,119927
RF74BVL,KIA CEED GT-LINE,KIA,CEED,GT-LINE,03/12/2025,10:00,12900,0,1.5,09/01/2028,09/01/2025,5,5,Not warranted,G3 Bedford,6,Petrol,Red,Manual,Hatchback,121046
GX74KVU,BMW 3 SERIES 320I M SPORT,BMW,3 SERIES,320I M SPORT,03/12/2025,10:00,19288,0,2.0,30/09/2027,30/09/2024,5,5,Not warranted,G3 Bedford,6,Petrol,Black,Automatic,Estate,120920
RF74FYX,KIA CEED GT-LINE,KIA,CEED,GT-LINE,03/12/2025,10:00,19606,0,1.5,17/01/2028,17/01/2025,5,5,Not warranted,G3 Bedford,6,Petrol,Red,Manual,Hatchback,119925
RF74GBY,KIA CEED GT-LINE,KIA,CEED,GT-LINE,03/12/2025,10:00,18224,0,1.5,14/01/2028,14/01/2025,5,5,Not warranted,G3 Bedford,6,Petrol,Red,Manual,Hatchback,120923
RF74GGO,KIA CEED GT-LINE,KIA,CEED,GT-LINE,03/12/2025,10:00,16636,0,1.5,30/01/2028,30/01/2025,5,5,Not warranted,G3 Bedford,6,Petrol,Red,Manual,Hatchback,120918
RF74FYW,KIA CEED GT-LINE,KIA,CEED,GT-LINE,03/12/2025,10:00,21296,0,1.5,14/01/2028,14/01/2025,5,5,Not warranted,G3 Bedford,6,Petrol,Red,Manual,Hatchback,120929
RF74DHV,KIA CEED GT-LINE,KIA,CEED,GT-LINE,03/12/2025,10:00,19270,0,1.5,16/12/2027,16/12/2024,5,5,Not warranted,G3 Bedford,6,Petrol,Red,Manual,Hatchback,120927
