Title,Auction Name,Lot,Auction type,Center,Make,Model,Variant,Doors,Reg,Start Time,Start Date,D.O.R,Fuel Type,Body Type,Former Keepers,Transmission,Colour,MOT Expiry Date,Year,Keys,VAT Status,V5,CAP Clean,CAP Average,CAP Below,CC,Mileage,Mileage Warranted,Images
JAGUAR X-TYPE,General Car,"
                            44",Online Auction,Leominster,JAGUAR,X-TYPE,2.2d SE [Euro 4],4,AF06MYX,18:00,11/12/2025,01/03/2006,Diesel,Saloon,3,MANUAL,GOLD,27/05/2026,2006,2,Margin,To Follow,,,,,124803,Yes,"https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2971/images/1764766261_Qp7xN7.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2971/images/1764766271_2RfurT.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2971/images/1764766279_IlEs6J.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2971/images/1764766290_hGnubv.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2971/images/1764766298_xML3Tf.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2971/images/1764766307_Ui65ny.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2971/images/1764766316_ZHty4g.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2971/images/1764766325_6GlMQ9.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2971/images/1764766332_aBha4t.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2971/images/1764766347_K0OtVp.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2971/images/1764766366_zBrpCg.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2971/images/1764766375_UYZBaO.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2971/images/1764766382_dmKnoQ.jpg"
PEUGEOT 208,General Car,"
                            49",Online Auction,Leominster,PEUGEOT,208,PureTech 110 GT Line,5,AJ15OCY,18:00,11/12/2025,10/06/2015,Petrol,Hatchback,,MANUAL,WHITE,05/01/2026,2015,,Margin,Here,"£2,525.00","£2,100.00","£1,650.00",1.2,82802,No,"https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2900/images/1764253729_a7qezf.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2900/images/1764253733_MWM0NY.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2900/images/1764253738_5uU6Ti.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2900/images/1764253746_Hjg6Ck.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2900/images/1764253752_uJddfl.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2900/images/1764253756_kJMoRN.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2900/images/1764253760_KdZp7q.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2900/images/1764253768_TQCJxx.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2900/images/1764253777_s5YfvY.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2900/images/1764253785_mpmYLG.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2900/images/1764253790_U6ytCp.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2900/images/1764253796_0uJp9S.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2900/images/1764253806_zXj0Gq.jpg"
LAND ROVER RANGE ROVER SPORT,General Car,"
                            50",Online Auction,Leominster,LAND,ROVER RANGE ROVER SPORT,TDV8 HSE Auto,5,AK10LLV,18:00,11/12/2025,23/03/2010,Diesel,Estate,,AUTOMATIC,GREEN,19/11/2026,2010,1,Margin,Here,"£2,200.00","£1,775.00","£1,350.00",3.6,119843,No,"https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2910/images/1764670194_72EC64.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2910/images/1764670199_dxUXb1.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2910/images/1764670204_3avgFt.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2910/images/1764670213_Q9Cc6R.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2910/images/1764670218_gxYBu2.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2910/images/1764670223_vqNzil.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2910/images/1764670228_eJfWxj.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2910/images/1764670234_sWGIbb.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2910/images/1764670242_jyIZed.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2910/images/1764670250_UmW8CT.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2910/images/1764670255_4D2jD4.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2910/images/1764670265_e4zLhP.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2910/images/1764670282_vSRTnu.jpg"
VOLKSWAGEN FOX,General Car,"
                            8",Online Auction,Leominster,VOLKSWAGEN,FOX,60 Urban Fox,3,BW11OMF,18:00,11/12/2025,16/08/2011,Petrol,Hatchback,2,MANUAL,RED,16/08/2026,2011,1,Margin,Here,£290.00,£150.00,£150.00,1.2,147638,Yes,"https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/3028/images/1765190090_pI6tBf.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/3028/images/1765190097_HNAfFF.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/3028/images/1765190105_N5aZKu.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/3028/images/1765190118_6Lok5B.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/3028/images/1765190126_6DTd2J.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/3028/images/1765190134_fye8gD.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/3028/images/1765190140_QFasLC.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/3028/images/1765190149_c2q9Fn.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/3028/images/1765190158_VCqn5J.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/3028/images/1765190172_pWRXu0.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/3028/images/1765190190_wPM43y.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/3028/images/1765190215_O03KX9.jpg"
SKODA YETI,General Car,"
                            48",Online Auction,Leominster,SKODA,YETI,TDI CR Elegance,5,CE12KYC,18:00,11/12/2025,01/03/2012,Diesel,Hatchback,4,MANUAL,BLACK,05/02/2026,2012,2,Margin,Here,"£2,025.00","£1,600.00","£1,200.00",2.0,157121,Yes,"https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2919/images/1764604924_iT7S1N.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2919/images/1764604931_BxLRD6.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2919/images/1764604939_Ck4qU3.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2919/images/1764604951_5F7JFZ.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2919/images/1764604974_kk9sqV.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2919/images/1764605073_FS6RBg.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2919/images/1764605081_m6uS8r.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2919/images/1764605091_D37M4A.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2919/images/1764605100_k2gEmr.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2919/images/1764605113_TBjrzF.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2919/images/1764605128_SYcqrC.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2919/images/1764605139_Jv3Igp.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2919/images/1764605149_qN5MoR.jpg"
FORD FIESTA,General Car,"
                            53",Online Auction,Leominster,FORD,FIESTA,EcoBoost Zetec S Red,3,CN15XCU,18:00,11/12/2025,30/03/2015,Petrol,Hatchback,1,MANUAL,RED,07/05/2026,2015,1,Margin,Here,"£2,000.00","£1,550.00","£1,150.00",1.0,102188,No,"https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2896/images/1764244704_F8IWB4.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2896/images/1764244712_mLpYga.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2896/images/1764244720_0h0HSR.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2896/images/1764244730_tbVYOp.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2896/images/1764244736_W4zpbn.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2896/images/1764244744_bCqysn.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2896/images/1764244752_nvO8V6.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2896/images/1764244761_HR0P0c.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2896/images/1764244770_cowBCm.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2896/images/1764244784_ukcY1S.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2896/images/1764244798_4bLa85.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2896/images/1764244805_rtvWrN.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2896/images/1764244812_xXiXti.jpg"
FORD FIESTA,General Car,"
                            5",Online Auction,Leominster,FORD,FIESTA,TDCi Titanium,5,CP59NEY,18:00,11/12/2025,25/01/2010,Diesel,Hatchback,,MANUAL,SILVER,02/05/2026,2010,1,Margin,Here,£620.00,£220.00,£150.00,1.4,134163,No,"https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2915/images/1764587510_ICCDgd.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2915/images/1764587517_r4FiDS.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2915/images/1764587525_2wRfVf.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2915/images/1764587538_FwlaHx.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2915/images/1764587547_qTmoCK.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2915/images/1764587555_IXbyke.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2915/images/1764587561_qjXSBP.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2915/images/1764587571_boIrGp.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2915/images/1764587579_f727UK.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2915/images/1764587591_vVzp2l.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2915/images/1764587609_OsFWef.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2915/images/1764587615_knlpMX.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2915/images/1764587621_QIBXa5.jpg"
TOYOTA RECTUS,General Car,"
                            43",Online Auction,Leominster,TOYOTA,RECTUS,,,CX58MXT,18:00,11/12/2025,01/06/2022,Petrol,Hatchback,,AUTOMATIC,MAROON,01/04/2026,2022,,Margin,Here,,,,,149767,No,"https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2906/images/1764671370_5zGXya.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2906/images/1764671375_seXBSK.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2906/images/1764671379_IxdfAG.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2906/images/1764671387_9SxlZA.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2906/images/1764671391_mMttzW.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2906/images/1764671396_x3V2hv.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2906/images/1764671400_qImmLu.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2906/images/1764671416_vyIO1h.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2906/images/1764671423_PeZjou.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2906/images/1764671430_cuhqAZ.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2906/images/1764671439_jhGgOa.jpg"
RENAULT CLIO,General Car,"
                            6",Online Auction,Leominster,RENAULT,CLIO,TCE Dynamique TomTom,5,DA62JPF,18:00,11/12/2025,30/01/2013,Petrol,Hatchback,3,MANUAL,GREY,03/11/2026,2013,,Margin,Here,£590.00,£190.00,£150.00,1.2,108905,Yes,"https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2907/images/1764593708_aisDR3.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2907/images/1764593715_91I4LI.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2907/images/1764593722_txCoQi.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2907/images/1764593732_EfQanq.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2907/images/1764593739_HS51dB.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2907/images/1764593748_ehsPdq.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2907/images/1764593755_h6JfA9.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2907/images/1764593764_sOAN6h.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2907/images/1764593773_lBy2q6.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2907/images/1764593786_BaVyeP.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2907/images/1764593800_pIqD6D.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2907/images/1764593808_9LA9XZ.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2907/images/1764593815_w9oxlJ.jpg"
VAUXHALL ASTRA,General Car,"
                            45",Online Auction,Leominster,VAUXHALL,ASTRA,CDTi 16V Design,5,DA66JVV,18:00,11/12/2025,22/09/2016,Diesel,Hatchback,,MANUAL,SILVER,23/10/2026,2016,2,Margin,Here,"£2,325.00","£1,900.00","£1,450.00",1.6,86742,No,"https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2980/images/1764840453_PvowEB.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2980/images/1764840458_tqWvtr.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2980/images/1764840463_fXGQrU.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2980/images/1764840472_g5b9ep.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2980/images/1764840476_5ayb7z.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2980/images/1764840481_wJCKpr.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2980/images/1764840484_KLLxJi.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2980/images/1764840498_xOCzL4.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2980/images/1764840506_Ydkc0C.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2980/images/1764840516_lZ4Bgo.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2980/images/1764840523_UBoFJM.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2980/images/1764840531_tor2Yz.jpg,https://leominster-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2980/images/1764840546_STACF5.jpg"
