Title,Auction Name,Lot,Auction type,Center,Make,Model,Variant,Reg,Start Time,Start Date,D.O.R,Fuel Type,Body Type,Transmission,Colour,Year,Keys,VAT Status,V5,CAP Clean,CAP Average,CAP Below,CC,Mileage,Inspection Report,Images
2012 HONDA JAZZ,Default,"
                            101",Online Auction,Swansea Motor Auctions,HONDA,JAZZ,1.4 i-VTEC ES 5dr CVT,CE12ODW,18:00,10/12/2025,01/03/2012,Petrol,Hatchback,CVT,GREY,2012,2,Margin,Here,Login to see this,Login to see this,Login to see this,1.3,62018,https://www.smva.co.uk/motorvehicleinspectionreport/standard/1956.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1956/images/1764762289_JyTk7F.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1956/images/1764762297_530YGI.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1956/images/1764762312_zFTy50.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1956/images/1764762370_3YREKt.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1956/images/1764762519_zkNsNR.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1956/images/1764762529_lWUApE.jpg"
2012 TOYOTA YARIS,Default,"
                            103",Online Auction,Swansea Motor Auctions,TOYOTA,YARIS,1.33 VVT-i SR 5dr,CV12DZZ,18:00,10/12/2025,02/03/2012,Petrol,Hatchback,MANUAL,GREY,2012,2,Margin,Here,Login to see this,Login to see this,Login to see this,1.3,104641,https://www.smva.co.uk/motorvehicleinspectionreport/standard/1988.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1988/images/1764779624_D7ORfz.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1988/images/1764779630_8X1Aof.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1988/images/1764779644_Iv2ay1.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1988/images/1764779665_Bdf0gD.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1988/images/1764779696_bTFUkV.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1988/images/1764779708_ITjNWU.jpg"
2018 DACIA DUSTER,Default,"
                            190",Online Auction,Swansea Motor Auctions,DACIA,DUSTER,1.6 SCe 115 Air 5dr,CK18FNZ,18:00,10/12/2025,24/05/2018,Petrol,Hatchback,MANUAL,WHITE,2018,2,Margin,Here,Login to see this,Login to see this,Login to see this,1.6,101698,https://www.smva.co.uk/motorvehicleinspectionreport/standard/1901.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1901/images/1764580580_Eafu64.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1901/images/1764580588_hSvxb2.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1901/images/1764580598_UKdchp.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1901/images/1764580615_lEXnOI.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1901/images/1764580648_Y0bQMZ.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1901/images/1764580658_evxch6.jpg"
2013 KIA SPORTAGE,Default,"
                            191",Online Auction,Swansea Motor Auctions,KIA,SPORTAGE,1.7 CRDi ISG 3 5dr [Sat Nav],SP63MYL,18:00,10/12/2025,09/09/2013,Diesel,Estate,MANUAL,SILVER,2013,,Margin,Here,Login to see this,Login to see this,Login to see this,1.7,112588,https://www.smva.co.uk/motorvehicleinspectionreport/standard/1992.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1992/images/1764841171_r5kQBa.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1992/images/1764841177_3JVbwW.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1992/images/1764841190_YWSede.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1992/images/1764841211_GTq2WW.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1992/images/1764842365_GmvGkz.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1992/images/1764842372_4kJP4i.jpg"
2016 KIA SPORTAGE,Default,"
                            192",Online Auction,Swansea Motor Auctions,KIA,SPORTAGE,2.0 CRDi KX-4 5dr,CV66RNJ,18:00,10/12/2025,30/09/2016,Diesel,Estate,MANUAL,SILVER,2016,,Margin,Here,Login to see this,Login to see this,Login to see this,2.0,37011,https://www.smva.co.uk/motorvehicleinspectionreport/standard/1824.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1824/images/1764156420_MZo4lc.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1824/images/1764156426_WlY80N.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1824/images/1764156442_d3FJs7.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1824/images/1764156460_biIopI.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1824/images/1764156517_Wfbd7o.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1824/images/1764156525_mO5i9a.jpg"
2018 VAUXHALL MOKKA X,Default,"
                            193",Online Auction,Swansea Motor Auctions,VAUXHALL,MOKKA X,1.4T Active 5dr Auto,WU18OBO,18:00,10/12/2025,07/03/2018,Petrol,Hatchback,AUTOMATIC,BLUE,2018,,Margin,Here,Login to see this,Login to see this,Login to see this,1.4,49902,https://www.smva.co.uk/motorvehicleinspectionreport/standard/1856.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1856/images/1764599743_MeCW6R.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1856/images/1764599786_y29AZc.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1856/images/1764599799_edoNgD.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1856/images/1764599859_pPGuAd.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1856/images/1764599867_mOK5gB.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1856/images/1764599882_sVLuoJ.jpg"
2014 SUZUKI ALTO,Default,"
                            194",Online Auction,Swansea Motor Auctions,SUZUKI,ALTO,1.0 SZ 5dr,DY14ZPM,18:00,10/12/2025,30/05/2014,Petrol,Hatchback,MANUAL,WHITE,2014,1,Margin,Here,Login to see this,Login to see this,Login to see this,1.0,103770,https://www.smva.co.uk/motorvehicleinspectionreport/standard/2065.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2065/images/1765280873_OeevZD.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2065/images/1765280885_SBkIoS.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2065/images/1765280915_rhH3Cy.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2065/images/1765280962_qqjWHI.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2065/images/1765281035_7kc6ty.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/2065/images/1765281048_qikRPb.jpg"
2021 BMW 3 SERIES,Default,"
                            195",Online Auction,Swansea Motor Auctions,BMW,3 SERIES,318i Sport 4dr Step Auto,RV21XLF,18:00,10/12/2025,30/03/2021,Petrol,Saloon,AUTOMATIC,GREY,2021,,Margin,Here,Login to see this,Login to see this,Login to see this,2.0,131594,https://www.smva.co.uk/motorvehicleinspectionreport/standard/1893.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1893/images/1764254447_nIuZzl.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1893/images/1764254454_t0RQju.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1893/images/1764254466_FLFBiH.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1893/images/1764254500_LWG4Et.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1893/images/1764254571_FKkeXh.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1893/images/1764254580_dRCPn5.jpg"
2014 AUDI Q5,Default,"
                            196",Online Auction,Swansea Motor Auctions,AUDI,Q5,2.0 TDI Quattro S Line Plus 5dr S Tronic,KS14JTO,18:00,10/12/2025,10/06/2014,Diesel,Estate,AUTOMATIC,GREY,2014,,Margin,Here,Login to see this,Login to see this,Login to see this,2.0,122747,https://www.smva.co.uk/motorvehicleinspectionreport/standard/1991.pdf,"https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1991/images/1764842382_wn1wpa.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1991/images/1764842388_Es0L9B.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1991/images/1764842395_BHboIK.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1991/images/1764842399_tJfNnA.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1991/images/1764842411_XXwG2E.jpg,https://swansea-buckets-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/1991/images/1764842420_YY37aq.jpg"
2014 AUDI Q3,Default,"
                            197",Online Auction,Swansea Motor Auctions,AUDI,Q3,1.4T FSI SE 5dr,WR64OYN,18:00,10/12/2025,17/11/2014,Petrol,Estate,MANUAL,BLACK,2014,2,Margin,Here,Login to see this,Login to see this,Login to see this,1.4,90763,https://www.smva.co.uk/motorvehicleinspectionreport/standard/2027.pdf,
