Auction Name,Sheet id,Auction House,Title,Reg,Make,Model,Variant,Lot,Body type,Fuel Type,Transmission,Center,Start Date,Start Time,D.O.R,Year,Mileage,Mileage Warranted,V5,MOT Expiry Date,Service History,VAT Status,Vendor,Former Keepers,CC,Service Notes,Inspection Report,Images,Damaged_images,Damage_details,Additional Information,Colour,Keys,CAP Clean,CAP Below,CAP Average,Features,General Condition,Grade,Doors,Seats,MOT Due,Euro Status,No of services,Last service mileage,Tyres Condition,Auction Type,Non Runner
"Main Agent Car, Commercial and ex-Fire Service Equipment Auction",20,Wilsons Auctions,Ford Puma ST (Performance Pack),AE73KVG,Ford,Puma ST,ST (Performance Pack),2010,Hatchback,Petrol,Manual,Wilsons Auctions Oxford,2025-12-18,14:00,30/09/2023,2023,11653,Correct,Here,,No,VAT Qualifying,FORD CREDIT DIRECT,,1.5,,,"https://assets.wilsonsauctions.com///lots_asset-250080%2FGeneralImages-6_17677785313286605774657899416228.jpg_104913/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250080%2FGeneralImages-0_17677783471124033399368166436840.jpg_72228/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250080%2FGeneralImages-1_17677783660983345817758243725762.jpg_57712/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250080%2FGeneralImages-2_17677784099696998153625690367572.jpg_91413/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250080%2FGeneralImages-3_17677784266223862739600706457404.jpg_94423/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250080%2FGeneralImages-4_17677784407507621481646980122027.jpg_92544/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250080%2FGeneralImages-5_17677784536464426611564509773549.jpg_97793/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250080%2FGeneralImages-7_17677785530458522027757679916202.jpg_91064/320x231.webp",,,,Grey Matter,Present,"£16,750",,"£15,400",,,,5,,,,,,,Online Auction,No
"Main Agent Car, Commercial and ex-Fire Service Equipment Auction",20,Wilsons Auctions,Ford Puma ST (Performance Pack),AF73WLB,Ford,Puma ST,ST (Performance Pack),2029,Hatchback,Petrol,Manual,Wilsons Auctions Oxford,2025-12-18,14:00,01/09/2023,2023,15094,Correct,Here,,Yes,VAT Qualifying,FORD CREDIT DIRECT,,1.5,,,"https://assets.wilsonsauctions.com///lots_asset-250841%2FGeneralImages-4_17677831151551412198808339526086.jpg_99568/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250841%2FGeneralImages-0_17677827866591786551637568883592.jpg_92273/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250841%2FGeneralImages-1_17677827969959079573133280279665.jpg_77825/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250841%2FGeneralImages-2_17677829304541872639677495989825.jpg_60012/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250841%2FGeneralImages-3_17677829366586478347566741790387.jpg_58377/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250841%2FGeneralImages-5_1767783121897497041919517967581.jpg_70050/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250841%2FGeneralImages-6_17677831277992490932477238966782.jpg_56572/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250841%2FGeneralImages-7_1767783135569187954117028254598.jpg_122415/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250841%2FDamageImages-0_17677832154837637515829391609877.jpg_76754/320x231.webp",,,,Azura Blue,Present,"£16,475",,"£15,125",,,,5,,,,,,,Online Auction,No
"Main Agent Car, Commercial and ex-Fire Service Equipment Auction",20,Wilsons Auctions,Ford Puma ST (Performance Pack),AF73XUG,Ford,Puma ST,ST (Performance Pack),2001,Hatchback,Petrol,Manual,Wilsons Auctions Oxford,2025-12-18,14:00,29/09/2023,2023,18406,Correct,Here,,Yes,VAT Qualifying,FORD CREDIT DIRECT,,1.5,,,"https://assets.wilsonsauctions.com///lots_asset-249103%2FGeneralImages-5_17676193937708322668120859405429.jpg_91614/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-249103%2FGeneralImages-0_17676192413542293626959415858981.jpg_92046/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-249103%2FGeneralImages-1_17676192541574572246588656722989.jpg_101516/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-249103%2FGeneralImages-2_1767619371244952068359492510816.jpg_65541/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-249103%2FGeneralImages-3_17676193769087089259154313048709.jpg_88287/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-249103%2FGeneralImages-4_17676193832197864225954021418906.jpg_82459/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-249103%2FGeneralImages-6_17676193998698076152209643545656.jpg_52080/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-249103%2FGeneralImages-7_17676194063207205539629025729070.jpg_111168/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-249103%2FDamageImages-0_17676194869033315274345695300540.jpg_97998/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-249103%2FDamageImages-1_1767619511397698908201779231362.jpg_63474/320x231.webp",,,,Frozen White,Present,"£16,175",,"£14,825",,,,5,,,,,,,Online Auction,No
"Main Agent Car, Commercial and ex-Fire Service Equipment Auction",20,Wilsons Auctions,MG HS T-GDI Exclusive S-A,AJ23PUH,MG,HS T-GDI,T-GDI Exclusive S-A,1026,Estate,Petrol,Semi Automatic,Wilsons Auctions Oxford,2025-12-18,14:00,12/07/2023,2023,23536,Correct,Here,,Yes,Margin,,,1.5,,,"https://assets.wilsonsauctions.com///lots_asset-256014%2FGeneralImages-0_17685779293518714699540262882915.jpg_111915/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256014%2FGeneralImages-0_17685780422384338838796049199435.jpg_67700/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256014%2FGeneralImages-1_17685780502888343245189527402616.jpg_78822/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256014%2FGeneralImages-2_17685780615036777721422554308120.jpg_77273/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256014%2FGeneralImages-1_17685779400875835327297001171358.jpg_101881/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256014%2FGeneralImages-2_17685779477728799414549795853625.jpg_83797/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256014%2FGeneralImages-3_17685779581375743543650345830303.jpg_102126/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256014%2FGeneralImages-4_17685779683905690963463952619246.jpg_62173/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256014%2FGeneralImages-5_17685779862382472554732770604019.jpg_82857/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256014%2FGeneralImages-6_17685779924542810748878788036325.jpg_79547/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256014%2FGeneralImages-7_17685780066565579780048979729148.jpg_61655/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256014%2FGeneralImages-8_17685780160384675301934567364876.jpg_90569/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256014%2FDamageImages-0_17685780927764857695205388433951.jpg_56240/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256014%2FDamageImages-1_17685781382265269760840525510362.jpg_40268/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256014%2FDamageImages-2_17685781770922788537466721076340.jpg_50659/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256014%2FDamageImages-3_17685782296535752199590905549980.jpg_97157/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256014%2FDamageImages-4_17685782744544925941169863339974.jpg_84021/320x231.webp",,,,Red,Present,"£14,250",,"£13,050",,,2,5,,,,,,,Online Auction,No
"Main Agent Car, Commercial and ex-Fire Service Equipment Auction",20,Wilsons Auctions,Ford Puma ST (Performance Pack),AK73JFE,Ford,Puma ST,ST (Performance Pack),2032,Hatchback,Petrol,Manual,Wilsons Auctions Oxford,2025-12-18,14:00,14/10/2023,2023,24208,Correct,Here,,Yes,VAT Qualifying,FORD CREDIT DIRECT,,1.5,,,"https://assets.wilsonsauctions.com///lots_asset-250331%2FGeneralImages-5_17678663425124079613938156980423.jpg_89476/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250331%2FGeneralImages-0_17678662147536264494729513402138.jpg_76028/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250331%2FGeneralImages-0_17678660622397111856870019566288.jpg_96375/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250331%2FGeneralImages-1_17678660760891659321484474981006.jpg_81375/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250331%2FGeneralImages-2_17678662015275528263744298872184.jpg_54491/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250331%2FGeneralImages-3_17678662087305471930590647728846.jpg_62614/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250331%2FGeneralImages-4_17678662207788754897339501536891.jpg_73093/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250331%2FGeneralImages-6_17678663502957225924693269809256.jpg_65730/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250331%2FGeneralImages-7_17678663584758325917658431220052.jpg_100755/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250331%2FDamageImages-0_1767866442708186472670213127706.jpg_76534/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250331%2FDamageImages-1_17678666368908898767515584626559.jpg_56857/320x231.webp",,,,Desert Island Blue,Present,"£15,725",,"£14,400",,,,5,,,,,,,Online Auction,No
"Main Agent Car, Commercial and ex-Fire Service Equipment Auction",20,Wilsons Auctions,Ford Puma ST (Performance Pack),AO73VSF,Ford,Puma ST,ST (Performance Pack),2012,Hatchback,Petrol,Manual,Wilsons Auctions Oxford,2025-12-18,14:00,22/11/2023,2023,19900,Correct,Here,,Yes,VAT Qualifying,FORD CREDIT DIRECT,,1.5,,,"https://assets.wilsonsauctions.com///lots_asset-248681%2FGeneralImages-4_17676975111075450826521432563274.jpg_115670/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-248681%2FGeneralImages-0_17676973968551600713382551206700.jpg_75005/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-248681%2FGeneralImages-1_17676974117514316889789825599336.jpg_64186/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-248681%2FGeneralImages-2_17676974676726511630900973455485.jpg_91644/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-248681%2FGeneralImages-3_17676974930833849913614593707355.jpg_79140/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-248681%2FGeneralImages-5_1767697529266484972445114681643.jpg_107129/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-248681%2FGeneralImages-6_17676975462793163774351440857218.jpg_108744/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-248681%2FGeneralImages-7_17676975652621007147269802127442.jpg_105338/320x231.webp",,,,Magnetic Grey,Present,"£16,050",,"£14,700",,,,5,,,,,,,Online Auction,No
"Main Agent Car, Commercial and ex-Fire Service Equipment Auction",20,Wilsons Auctions,Ford Puma ST (Performance Pack),AP73BVY,Ford,Puma ST,ST (Performance Pack),2054,Hatchback,Petrol,Manual,Wilsons Auctions Oxford,2025-12-18,14:00,09/09/2023,2023,27043,Correct,Here,,Yes,VAT Qualifying,FORD CREDIT DIRECT,,1.5,,,"https://assets.wilsonsauctions.com///lots_asset-253411%2FGeneralImages-4_17683117867931435728505528215008.jpg_63194/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-253411%2FGeneralImages-0_1768311433909759191342425656556.jpg_65782/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-253411%2FGeneralImages-1_1768311544485799069405593458674.jpg_69894/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-253411%2FGeneralImages-2_17683115504902038794256886042686.jpg_60439/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-253411%2FGeneralImages-3_17683115563346319659757609663519.jpg_80673/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-253411%2FGeneralImages-5_17683117956488522098171663136846.jpg_58564/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-253411%2FGeneralImages-6_17683118014591499761821564622825.jpg_99571/320x231.webp",,,,Grey Matter,Present,"£15,500",,"£14,200",,,,5,,,,,,,Online Auction,No
"Main Agent Car, Commercial and ex-Fire Service Equipment Auction",20,Wilsons Auctions,Ford Puma Titanium Mhev,AU73LLN,Ford,Puma Titanium,Titanium Mhev,2008,Hatchback,Hyb petrol,Manual,Wilsons Auctions Oxford,2025-12-18,14:00,27/09/2023,2023,12513,Correct,Here,,Yes,VAT Qualifying,FORD CREDIT DIRECT,,1.0,,,"https://assets.wilsonsauctions.com///lots_asset-256049%2FGeneralImages-0_17685754064885899824003746378335.jpg_88066/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256049%2FGeneralImages-0_17685755223567813852463840934843.jpg_84320/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256049%2FGeneralImages-1_17685754135631077306873883168749.jpg_90223/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256049%2FGeneralImages-2_1768575424662919468016389791962.jpg_84656/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256049%2FGeneralImages-3_17685754332641341084239489019711.jpg_100593/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256049%2FGeneralImages-4_17685754688569010711149099724504.jpg_99090/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256049%2FGeneralImages-5_17685754770946618318090205500418.jpg_58489/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256049%2FGeneralImages-6_17685754918287117101187658836048.jpg_70915/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256049%2FGeneralImages-7_17685755003753429983880116926328.jpg_47400/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256049%2FGeneralImages-8_17685755102304369443068861187249.jpg_99792/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256049%2FDamageImages-0_17685755701824297340988695184545.jpg_67613/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256049%2FDamageImages-1_17685756109645308087931042420264.jpg_70575/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256049%2FDamageImages-2_17685756665593471305199341611654.jpg_87773/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-256049%2FDamageImages-3_17685757966925864803215188327508.jpg_91212/320x231.webp",,,,Agate Black,Present,"£12,475",,"£11,250",,,2,5,,,,,,,Online Auction,No
"Main Agent Car, Commercial and ex-Fire Service Equipment Auction",20,Wilsons Auctions,Ford Puma ST (Performance Pack),AV73MYL,Ford,Puma ST,ST (Performance Pack),2020,Hatchback,Petrol,Manual,Wilsons Auctions Oxford,2025-12-18,14:00,30/09/2023,2023,23328,Correct,Here,,No,VAT Qualifying,FORD CREDIT DIRECT,,1.5,,,"https://assets.wilsonsauctions.com///lots_asset-250592%2FGeneralImages-5_1767785602561547078133563804881.jpg_85339/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250592%2FGeneralImages-0_17677854487211377523020692242052.jpg_115645/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250592%2FGeneralImages-1_17677854570105354722052419165258.jpg_99815/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250592%2FGeneralImages-2_17677855764374288804039302628550.jpg_62019/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250592%2FGeneralImages-3_17677855830268123935990052346509.jpg_72212/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250592%2FGeneralImages-4_17677855886121162580763599412618.jpg_69308/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250592%2FGeneralImages-6_17677856115102869828241143992970.jpg_74621/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250592%2FGeneralImages-7_17677856214157257827005203485143.jpg_109392/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250592%2FDamageImages-0_17677857998067964766516211526334.jpg_66012/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250592%2FDamageImages-1_17677858254234281726009092186149.jpg_73440/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250592%2FDamageImages-2_17677858473863375955841707630947.jpg_64195/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-250592%2FDamageImages-3_17677858829733062746554802092927.jpg_65937/320x231.webp",,,,Azura Blue,Present,"£15,800",,"£14,450",,,,5,,,,,,,Online Auction,No
"Main Agent Car, Commercial and ex-Fire Service Equipment Auction",20,Wilsons Auctions,Ford Fiesta Active Turbo,AY73HUJ,Ford,Fiesta Active,Active Turbo,2003,Hatchback,Petrol,Manual,Wilsons Auctions Oxford,2025-12-18,14:00,30/09/2023,2023,22657,Correct,Here,,No,VAT Qualifying,FORD CREDIT DIRECT,,1.0,,,"https://assets.wilsonsauctions.com///lots_asset-253503%2FGeneralImages-5_17685770574111565118517567768109.jpg_71974/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-253503%2FGeneralImages-0_17685769067758184025855287580043.jpg_27783/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-253503%2FGeneralImages-1_17685769146483355293631991532422.jpg_16771/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-253503%2FGeneralImages-2_17685770376293476700891437842275.jpg_44181/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-253503%2FGeneralImages-3_17685770438573980462635275251024.jpg_66844/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-253503%2FGeneralImages-4_17685770496058751503152760040326.jpg_63192/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-253503%2FGeneralImages-6_17685770631392254044105288961135.jpg_61238/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-253503%2FGeneralImages-7_17685770770321023677778501614072.jpg_90133/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-253503%2FDamageImages-0_17685771380385916225261201993623.jpg_66227/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-253503%2FDamageImages-1_17685771554576804462981565741067.jpg_77708/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-253503%2FDamageImages-2_17685771735717286902108550990928.jpg_64984/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-253503%2FDamageImages-3_17685771857412117745648124793084.jpg_63739/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-253503%2FDamageImages-4_1768577211928530104105986227291.jpg_52822/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-253503%2FDamageImages-5_17685772313741814413216041658474.jpg_56178/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-253503%2FDamageImages-6_17685772575815991694917236315553.jpg_62282/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-253503%2FDamageImages-7_17685772788625772344531311090239.jpg_75871/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-253503%2FDamageImages-8_17685772975295089124392836999209.jpg_55751/320x231.webp",,,,Chrome Blue,Present,"£11,675",,"£10,625",,,2,5,,,,,,,Online Auction,No
