Auction Name,Sheet id,Auction House,Title,Reg,Make,Model,Variant,Lot,Body type,Fuel Type,Transmission,Center,Start Date,Start Time,D.O.R,Year,Mileage,Mileage Warranted,V5,MOT Expiry Date,Service History,VAT Status,Vendor,Former Keepers,CC,Service Notes,Inspection Report,Images,Damaged_images,Damage_details,Additional Information,Colour,Keys,CAP Clean,CAP Below,CAP Average,Features,General Condition,Grade,Doors,Seats,MOT Due,Euro Status,No of services,Last service mileage,Tyres Condition,End Date,End Time,Auction Type,Non Runner,Bidding History,Last Bid
Seized Vehicle Auction,20,Wilsons Auctions,BMW 118d SE,AF56LHB,BMW,118d SE,SE,38,Hatchback,Diesel,Manual,Wilsons Auctions Maidstone,2026-01-21,12:00,08/09/2006,2006,,Not Warranted,Here,20-10-2026,No,Margin,REPOSSESSION NO RESERVE,,2.0,,,"https://assets.wilsonsauctions.com///lots_1768295211-PICT0043.jpg_2086083/320x231.webp,https://assets.wilsonsauctions.com///lots_1768295211-PICT0044.jpg_1530300/320x231.webp,https://assets.wilsonsauctions.com///lots_1768295212-PICT0045.jpg_1906321/320x231.webp,https://assets.wilsonsauctions.com///lots_1768295212-PICT0046.jpg_1957969/320x231.webp,https://assets.wilsonsauctions.com///lots_1768295212-PICT0047.jpg_1541766/320x231.webp,https://assets.wilsonsauctions.com///lots_1768295213-PICT0048.jpg_1646647/320x231.webp,https://assets.wilsonsauctions.com///lots_1768295213-PICT0049.jpg_1814361/320x231.webp,https://assets.wilsonsauctions.com///lots_1768295214-PICT0050.jpg_2093501/320x231.webp,https://assets.wilsonsauctions.com///lots_1768295214-PICT0051.jpg_1954870/320x231.webp",,,,Black,Not present,―,,―,,,,5,,,,,,,2026-01-22,12:00,Timed Auction,No,[0],0
Seized Vehicle Auction,20,Wilsons Auctions,Volvo V50 SE D,AK57AUN,Volvo,V50 SE,SE D,80,Estate,Diesel,Manual,Wilsons Auctions Widnes,2026-01-21,12:00,21/09/2007,2007,,Not Warranted,,22-04-2026,No,Margin,REPOSSESSION NO RESERVE,,2.0,,,"https://assets.wilsonsauctions.com///lots_1768988815-P1050805.JPG_1580790/320x231.webp,https://assets.wilsonsauctions.com///lots_1768988815-P1050806.JPG_1547635/320x231.webp,https://assets.wilsonsauctions.com///lots_1768988816-P1050807.JPG_1564983/320x231.webp,https://assets.wilsonsauctions.com///lots_1768988817-P1050808.JPG_1702255/320x231.webp,https://assets.wilsonsauctions.com///lots_1768988818-P1050809.JPG_1621733/320x231.webp,https://assets.wilsonsauctions.com///lots_1768988820-P1050810.JPG_1659720/320x231.webp,https://assets.wilsonsauctions.com///lots_1768988821-P1050811.JPG_1373456/320x231.webp,https://assets.wilsonsauctions.com///lots_1768988821-P1050812.JPG_1276913/320x231.webp,https://assets.wilsonsauctions.com///lots_1768988822-P1050813.JPG_1599932/320x231.webp,https://assets.wilsonsauctions.com///lots_1768988823-P1050814.JPG_1175143/320x231.webp",,,,Grey,Not present,―,,―,,,,,,,,,,,2026-01-22,12:00,Timed Auction,No,[100],100
Seized Vehicle Auction,20,Wilsons Auctions,Ford Fiesta Titanium 68 Tdci,AO10GFV,Ford,Fiesta Titanium,Titanium 68 Tdci,134,Hatchback,Diesel,Manual,Wilsons Auctions Newport,2026-01-21,12:00,20/04/2010,2010,,Not Warranted,,,No,Margin,REPOSSESSION NO RESERVE,,1.4,,,"https://assets.wilsonsauctions.com///lots_asset-229119%2F17642408099712977839352256024281.jpg_5409480/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-229119%2F17642408167317249519978240587767.jpg_5195134/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-229119%2F17642408281485566160256655696086.jpg_5108063/320x231.webp",,,,Blue,Not present,―,,―,,,,5,,,,,,,2026-01-22,12:00,Timed Auction,No,[0],0
Seized Vehicle Auction,20,Wilsons Auctions,Volvo C30 SE D,AO10MFJ,Volvo,C30 SE,SE D,43,Hatchback,Diesel,Manual,Wilsons Auctions West Bromwich,2026-01-21,12:00,31/03/2010,2010,,Not Warranted,Here,29-01-2026,No,Margin,REPOSSESSION NO RESERVE,,2.0,,,"https://assets.wilsonsauctions.com///lots_1767619061-17676190528245810102876056513329.jpg_3670131/320x231.webp,https://assets.wilsonsauctions.com///lots_1767619068-17676190605736046845355581248409.jpg_4070862/320x231.webp,https://assets.wilsonsauctions.com///lots_1767619082-17676190751165619311722966118629.jpg_2791221/320x231.webp,https://assets.wilsonsauctions.com///lots_1767619101-17676190844758400744548058663518.jpg_3864892/320x231.webp,https://assets.wilsonsauctions.com///lots_1767619111-17676191030271592353722753301326.jpg_2775210/320x231.webp,https://assets.wilsonsauctions.com///lots_1767619195-17676191881764745525659306725846.jpg_4047829/320x231.webp,https://assets.wilsonsauctions.com///lots_1767619207-1767619197232199961865410079095.jpg_3779046/320x231.webp,https://assets.wilsonsauctions.com///lots_1767619222-17676192071899076000366530668026.jpg_3854218/320x231.webp,https://assets.wilsonsauctions.com///lots_1767619254-17676192252198013904380272940059.jpg_2829948/320x231.webp,https://assets.wilsonsauctions.com///lots_1767619265-17676192535983827506030747304178.jpg_2357192/320x231.webp,https://assets.wilsonsauctions.com///lots_1767619274-1767619267368311429977854166716.jpg_2993735/320x231.webp",,,,Orange,Not present,―,,―,,,,3,,,,,,,2026-01-22,12:00,Timed Auction,No,[120],120
Seized Vehicle Auction,20,Wilsons Auctions,Nissan Micra N-Tec DCI,AO10TLV,Nissan,Micra N-Tec,N-Tec DCI,8,Hatchback,Diesel,Manual,Wilsons Auctions Maidstone,2026-01-21,12:00,22/05/2010,2010,,Not Warranted,Here,07-03-2026,No,Margin,REPOSSESSION NO RESERVE,,1.5,,,"https://assets.wilsonsauctions.com///lots_1767953035-PICT0021.jpg_2191591/320x231.webp,https://assets.wilsonsauctions.com///lots_1767953036-PICT0022.jpg_2001966/320x231.webp,https://assets.wilsonsauctions.com///lots_1767953036-PICT0023.jpg_1295263/320x231.webp,https://assets.wilsonsauctions.com///lots_1767953036-PICT0024.jpg_2434883/320x231.webp,https://assets.wilsonsauctions.com///lots_1767953037-PICT0025.jpg_2325805/320x231.webp,https://assets.wilsonsauctions.com///lots_1767953037-PICT0026.jpg_1677511/320x231.webp,https://assets.wilsonsauctions.com///lots_1767953038-PICT0027.jpg_2086009/320x231.webp",,,,Grey,Not present,―,,―,,,,5,,,,,,,2026-01-22,12:00,Timed Auction,No,[170],170
Seized Vehicle Auction,20,Wilsons Auctions,Seat Ibiza FR TSI S-A,AY15XMD,Seat,Ibiza FR,FR TSI S-A,54,Hatchback,Petrol,Semi Automatic,Wilsons Auctions Gateshead,2026-01-21,12:00,14/05/2015,2015,,Not Warranted,Here,,No,Margin,,,1.2,,,"https://assets.wilsonsauctions.com///lots_1768388615-image.jpg_4555644/320x231.webp,https://assets.wilsonsauctions.com///lots_1768388621-image.jpg_4096023/320x231.webp,https://assets.wilsonsauctions.com///lots_1768388629-image.jpg_4508869/320x231.webp,https://assets.wilsonsauctions.com///lots_1768388634-image.jpg_4131586/320x231.webp,https://assets.wilsonsauctions.com///lots_1768388638-image.jpg_3908696/320x231.webp,https://assets.wilsonsauctions.com///lots_1768388649-image.jpg_2037510/320x231.webp,https://assets.wilsonsauctions.com///lots_1768388659-image.jpg_3525673/320x231.webp,https://assets.wilsonsauctions.com///lots_1768388668-image.jpg_3617179/320x231.webp",,,,Blue,Not present,―,,―,,,,3,,,,,,,2026-01-22,12:00,Timed Auction,No,[1080],1080
Seized Vehicle Auction,20,Wilsons Auctions,KIA Optima Phev Auto,NL65ROB,KIA,Optima Phev,Phev Auto,61,Estate,Hyb petrol,Automatic,Wilsons Auctions Belfast,2026-01-21,12:00,25/09/2017,2017,,Not Warranted,Here,,No,Margin,REPOSSESSION NO RESERVE,,2.0,,,"https://assets.wilsonsauctions.com///lots_asset-247496%2Fimage.jpg_3534990/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-247496%2Fimage.jpg_3776398/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-247496%2Fimage.jpg_4058778/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-247496%2Fimage.jpg_3815133/320x231.webp",,,,Black,Not present,―,,―,,,,,,,,,,,2026-01-22,12:00,Timed Auction,No,[2020],2020
Seized Vehicle Auction,20,Wilsons Auctions,Vauxhall Corsa S Cdti Ecoflex,BF60VMM,Vauxhall,Corsa S,S Cdti Ecoflex,107,Hatchback,Diesel,Manual,Wilsons Auctions Glasgow,2026-01-21,12:00,18/10/2010,2010,,Not Warranted,,,No,Margin,REPOSSESSION NO RESERVE,,1.2,,,"https://assets.wilsonsauctions.com///lots_asset-244261%2FGeneralImages-0_1767792535804423155561190028759.jpg_178583/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-244261%2FGeneralImages-1_17677925439023501195446756742276.jpg_180146/320x231.webp",,,,Silver,Not present,―,,―,,,,5,,,,,,,2026-01-22,12:00,Timed Auction,No,[0],0
Seized Vehicle Auction,20,Wilsons Auctions,Ford Transit 100 T350l RWD,BJ11OSW,Ford,Transit 100,100 T350l RWD,68,Panel van,Diesel,Manual,Wilsons Auctions Stoke,2026-01-21,12:00,31/05/2011,2011,,Not Warranted,,,No,Margin,REPOSSESSION NO RESERVE,,2.4,,,"https://assets.wilsonsauctions.com///lots_asset-242616%2F17659666915653320600247990084172.jpg_5944781/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-242616%2F17659667346252619748173966662249.jpg_5727573/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-242616%2F17659667457004609176034397598334.jpg_5003444/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-242616%2F17659667571945293184624355407721.jpg_5000608/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-242616%2F17659667690466778388706531050808.jpg_5019686/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-242616%2F17659667835743201673930117029103.jpg_4950114/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-242616%2F17659668139526944585606530364590.jpg_5848662/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-242616%2F17659668263156841415170095526267.jpg_4031252/320x231.webp",,,,White,Not present,―,,―,,,,,,,,,,,2026-01-22,12:00,Timed Auction,Yes,[50],50
Seized Vehicle Auction,20,Wilsons Auctions,Nissan Qashqai N-Tec DCI,BJ61FVE,Nissan,Qashqai N-Tec,N-Tec DCI,124,Hatchback,Diesel,Manual,Wilsons Auctions Newport,2026-01-21,12:00,15/12/2011,2011,,Not Warranted,,,No,Margin,REPOSSESSION NO RESERVE,,1.5,,,"https://assets.wilsonsauctions.com///lots_asset-247572%2F17670926224794275010359158050620.jpg_4557797/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-247572%2F17670926293756488097339823822396.jpg_4936826/320x231.webp,https://assets.wilsonsauctions.com///lots_asset-247572%2F17670926369236121978271191926632.jpg_5032573/320x231.webp",,,,White,Not present,―,,―,,,,5,,,,,,,2026-01-22,12:00,Timed Auction,No,[100],100
