Auction Name,Sheet id,Auction House,Title,Reg,Make,Model,Variant,Lot,Body type,Fuel Type,Transmission,Center,Start Date,Start Time,D.O.R,Year,Mileage,Mileage Warranted,V5,MOT Expiry Date,Service History,VAT Status,Vendor,Former Keepers,CC,Service Notes,Inspection Report,Images,Damaged_images,Damage_details,Additional Information,Colour,Keys,CAP Clean,CAP Below,CAP Average,Features,General Condition,Grade,Doors,Seats,MOT Due,Euro Status,No of services,Last service mileage,Tyres Condition
VAN & CAR AUCTION,21,Commercial Vehicle Auctions LTD,Land Rover Defender TDCi 2.2 110PS,AE63HWZ,Land Rover,Defender,TDCi 2.2 110PS,55,4x4,Diesel,MANUAL,Doncaster,2026-01-22,10:00:00,2013-10-18,2013,71781,Warranted,Here,13/07/2026,,Plus VAT,DIRECT FINANCE & LEASING COMPANY,,2.2,*WARNING LIGHT ON DASH* TOW BAR,https://www.cva-auctions.co.uk/motorvehicleinspectionreport/standard/9821.pdf,"https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AE63HWZ/e01.jpg?db43c938a4b68a8a57a4dcb76d49eee4,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AE63HWZ/e02.jpg?db43c938a4b68a8a57a4dcb76d49eee4,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AE63HWZ/e03.jpg?db43c938a4b68a8a57a4dcb76d49eee4,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AE63HWZ/e04.jpg?db43c938a4b68a8a57a4dcb76d49eee4","https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AE63HWZ/e01.jpg?db43c938a4b68a8a57a4dcb76d49eee4,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AE63HWZ/e02.jpg?db43c938a4b68a8a57a4dcb76d49eee4,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AE63HWZ/e03.jpg?db43c938a4b68a8a57a4dcb76d49eee4,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AE63HWZ/e04.jpg?db43c938a4b68a8a57a4dcb76d49eee4",,"{'Additional Information': {'Length': '4.63m', 'Width': '1.79m', 'Height': '2.18m', 'Imported': ''}}",,,,,,,,,,,,,,,
VAN & CAR AUCTION,21,Commercial Vehicle Auctions LTD,Ford Fiesta 1.5 TDCI,AK66JWJ,Ford,Fiesta,1.5 TDCI,21,Car Derived Van,Diesel,MANUAL,Bedford,2026-01-22,10:00:00,2016-11-11,2016,106737,Warranted,Here,14/03/2026,,Plus VAT,DIRECT UTILITY COMPANY - EXTRA £100 BUYERS FEE,1,1.5,"*NON-RUNNER, CRANKS BUT WILL NOT FIRE, BELT & ENGINE REQUIRE ATTN* E/MIRRORS",https://www.cva-auctions.co.uk/motorvehicleinspectionreport/standard/10341.pdf,"https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AK66JWJ/e01.jpg?0c36d489c9afcc5e40bb011a9cff8133,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AK66JWJ/e02.jpg?0c36d489c9afcc5e40bb011a9cff8133,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AK66JWJ/e03.jpg?0c36d489c9afcc5e40bb011a9cff8133,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AK66JWJ/e04.jpg?0c36d489c9afcc5e40bb011a9cff8133","https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AK66JWJ/e01.jpg?0c36d489c9afcc5e40bb011a9cff8133,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AK66JWJ/e02.jpg?0c36d489c9afcc5e40bb011a9cff8133,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AK66JWJ/e03.jpg?0c36d489c9afcc5e40bb011a9cff8133,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AK66JWJ/e04.jpg?0c36d489c9afcc5e40bb011a9cff8133",,"{'Additional Information': {'Length': '3.97m', 'Width': '1.98m', 'Height': '1.50m', 'Imported': ''}}",,,,,,,,,,,,,,,
VAN & CAR AUCTION,21,Commercial Vehicle Auctions LTD,MITSUBISHI L200 2.5 DI-D 178 WARRIOR,AO17NFJ,MITSUBISHI,L200,2.5 DI-D 178 WARRIOR,65,Pickup Double Cab,Diesel,MANUAL,Doncaster,2026-01-22,10:00:00,2017-04-21,2017,69059,Warranted,Here,Expired,,Plus VAT,DIRECT COACH BUILDERS,3,2.4,TOW BAR,https://www.cva-auctions.co.uk/motorvehicleinspectionreport/standard/10045.pdf,"https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AO71NFJ/e01.jpg?4cd27cff3f81b4ba22420867bf2b3171,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AO71NFJ/e02.jpg?4cd27cff3f81b4ba22420867bf2b3171,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AO71NFJ/e03.jpg?4cd27cff3f81b4ba22420867bf2b3171,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AO71NFJ/e04.jpg?4cd27cff3f81b4ba22420867bf2b3171","https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AO71NFJ/e01.jpg?4cd27cff3f81b4ba22420867bf2b3171,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AO71NFJ/e02.jpg?4cd27cff3f81b4ba22420867bf2b3171,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AO71NFJ/e03.jpg?4cd27cff3f81b4ba22420867bf2b3171,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AO71NFJ/e04.jpg?4cd27cff3f81b4ba22420867bf2b3171",,"{'Additional Information': {'Length': '5.29m', 'Width': '1.82m', 'Height': '1.78m', 'Imported': ''}}",,,,,,,,,,,,,,,
VAN & CAR AUCTION,21,Commercial Vehicle Auctions LTD,Ssangyong Musso 2.2TD 202PS SARACEN,AP72WAE,Ssangyong,Musso,2.2TD 202PS SARACEN,62,Pickup Double Cab,Diesel,AUTOMATIC,Bedford,2026-01-22,10:00:00,2022-11-03,2022,57748,Not Warranted,Buyer To Apply,02/11/2026,,Plus VAT,DIRECT FINANCE COMPANY,1,2.2,"*REAR PANEL WINDOW MISSING* AD-BLUE, TOW BAR, E/MIRRORS",https://www.cva-auctions.co.uk/motorvehicleinspectionreport/standard/10179.pdf,"https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AP72WAE/e01.jpg?f72dc33348006a8dd9025e34cf8d9036,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AP72WAE/e02.jpg?f72dc33348006a8dd9025e34cf8d9036,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AP72WAE/e03.jpg?f72dc33348006a8dd9025e34cf8d9036,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AP72WAE/e04.jpg?f72dc33348006a8dd9025e34cf8d9036","https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AP72WAE/e01.jpg?f72dc33348006a8dd9025e34cf8d9036,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AP72WAE/e02.jpg?f72dc33348006a8dd9025e34cf8d9036,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AP72WAE/e03.jpg?f72dc33348006a8dd9025e34cf8d9036,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AP72WAE/e04.jpg?f72dc33348006a8dd9025e34cf8d9036",,"{'Additional Information': {'Length': '5.10m', 'Width': '1.95m', 'Height': '1.87m', 'Imported': ''}}",,,,,,,,,,,,,,,
VAN & CAR AUCTION,21,Commercial Vehicle Auctions LTD,MERCEDES-BENZ SPRINTER 2.2 313 CDI,AV62AVO,MERCEDES-BENZ,SPRINTER,2.2 313 CDI,222,Panel Van MWB,Diesel,MANUAL,Livingston,2026-01-22,10:00:00,2012-09-21,2012,186410,Warranted,Here,05/10/2026,,Plus VAT,,3,2.1,"*WARNING LIGHT ON DASH* SEVERE ENGINE KNOCK, SIDE LOAD DOOR",https://www.cva-auctions.co.uk/motorvehicleinspectionreport/standard/10296.pdf,"https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AV62AVO/e01.jpg?4b1a21011ee9041ad3f4c798a639440a,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AV62AVO/e02.jpg?4b1a21011ee9041ad3f4c798a639440a,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AV62AVO/e03.jpg?4b1a21011ee9041ad3f4c798a639440a,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AV62AVO/e04.jpg?4b1a21011ee9041ad3f4c798a639440a,https://media-player.aos.tv/latest/b953a61250cf93e3b8ff.png","https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AV62AVO/e02.jpg?4b1a21011ee9041ad3f4c798a639440a,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AV62AVO/e03.jpg?4b1a21011ee9041ad3f4c798a639440a,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AV62AVO/e04.jpg?4b1a21011ee9041ad3f4c798a639440a,https://media-player.aos.tv/latest/b953a61250cf93e3b8ff.png",,"{'Additional Information': {'Length': '5.91m', 'Width': '1.99m', 'Height': '2.42m', 'Imported': ''}}",,,,,,,,,,,,,,,
VAN & CAR AUCTION,21,Commercial Vehicle Auctions LTD,MERCEDES-BENZ SPRINTER 314 CDI,AV66UTH,MERCEDES-BENZ,SPRINTER,314 CDI,242,Panel Van XLWB,Diesel,MANUAL,Doncaster,2026-01-22,10:00:00,2016-11-17,2016,302570,Not Warranted,Here,01/06/2026,,Plus VAT,,6,2.1,"*WARNING LIGHT ON DASH, OUTSTANDING RECALL*",https://www.cva-auctions.co.uk/motorvehicleinspectionreport/standard/10552.pdf,"https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AV66UTH/e01.jpg?c769e1b9f5417d7c4ba6ffb5dc3b74ff,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AV66UTH/e02.jpg?c769e1b9f5417d7c4ba6ffb5dc3b74ff,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AV66UTH/e03.jpg?c769e1b9f5417d7c4ba6ffb5dc3b74ff,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AV66UTH/e04.jpg?c769e1b9f5417d7c4ba6ffb5dc3b74ff","https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AV66UTH/e01.jpg?c769e1b9f5417d7c4ba6ffb5dc3b74ff,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AV66UTH/e02.jpg?c769e1b9f5417d7c4ba6ffb5dc3b74ff,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AV66UTH/e03.jpg?c769e1b9f5417d7c4ba6ffb5dc3b74ff,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/AV66UTH/e04.jpg?c769e1b9f5417d7c4ba6ffb5dc3b74ff",,"{'Additional Information': {'Length': '6.95m', 'Width': '1.99m', 'Height': '2.70m', 'Imported': ''}}",,,,,,,,,,,,,,,
VAN & CAR AUCTION,21,Commercial Vehicle Auctions LTD,FORD TRANSIT 350 2.0 ECOBLUE 130PS,BD71EKG,FORD,TRANSIT,350 2.0 ECOBLUE 130PS,180,Tipper,Diesel,MANUAL,Doncaster,2026-01-22,10:00:00,2021-12-31,2021,42346,Warranted,Here,18/11/2026,yes,Plus VAT,DIRECT UNITED RENTAL SYSTEMS,,2.0,AD-BLUE,https://www.cva-auctions.co.uk/motorvehicleinspectionreport/standard/8813.pdf,"https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BD71EKG/e01.jpg?b55bd6f97ef9db0265eece2e5345a79e,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BD71EKG/e02.jpg?b55bd6f97ef9db0265eece2e5345a79e,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BD71EKG/e03.jpg?b55bd6f97ef9db0265eece2e5345a79e,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BD71EKG/e04.jpg?b55bd6f97ef9db0265eece2e5345a79e","https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BD71EKG/e01.jpg?b55bd6f97ef9db0265eece2e5345a79e,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BD71EKG/e02.jpg?b55bd6f97ef9db0265eece2e5345a79e,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BD71EKG/e03.jpg?b55bd6f97ef9db0265eece2e5345a79e,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BD71EKG/e04.jpg?b55bd6f97ef9db0265eece2e5345a79e",,"{'Additional Information': {'Length': '5.57m', 'Width': '2.05m', 'Height': '2.18m', 'Imported': ''}}",,,,,,,,,,,,,,,
VAN & CAR AUCTION,21,Commercial Vehicle Auctions LTD,FORD TRANSIT T350 2.2 TDCI 100PS,BF14XJW,FORD,TRANSIT,T350 2.2 TDCI 100PS,243,Tipper,Diesel,MANUAL,Doncaster,2026-01-22,10:00:00,2014-05-19,2014,75015,Warranted,Here,15/12/2026,,Plus VAT,DIRECT COMPANY,1,2.2,"TWIN SIDE LOAD DOOR, HEATED WINDSCREEN",https://www.cva-auctions.co.uk/motorvehicleinspectionreport/standard/10644.pdf,"https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BF14XJW/e01.jpg?fee9ede8c3412e54045efaa64097e707,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BF14XJW/e02.jpg?fee9ede8c3412e54045efaa64097e707,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BF14XJW/e03.jpg?fee9ede8c3412e54045efaa64097e707,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BF14XJW/e04.jpg?fee9ede8c3412e54045efaa64097e707","https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BF14XJW/e01.jpg?fee9ede8c3412e54045efaa64097e707,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BF14XJW/e02.jpg?fee9ede8c3412e54045efaa64097e707,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BF14XJW/e03.jpg?fee9ede8c3412e54045efaa64097e707,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BF14XJW/e04.jpg?fee9ede8c3412e54045efaa64097e707",,"{'Additional Information': {'Length': '5.49m', 'Width': '1.97m', 'Height': '2.04m', 'Imported': ''}}",,,,,,,,,,,,,,,
VAN & CAR AUCTION,21,Commercial Vehicle Auctions LTD,Nissan Interstar TEKNA 2.3 DCI 135PS,BJ22KHY,Nissan,Interstar,TEKNA 2.3 DCI 135PS,169,Panel Van L3,Diesel,MANUAL,Bedford,2026-01-22,10:00:00,2022-03-31,2022,88622,Not Warranted,Buyer To Apply,30/03/2026,,Plus VAT,DIRECT FINANCE COMPANY,,2.3,"*WARNING LIGHT ON DASH* SIDE LOADING DOOR, E/MIRRORS",https://www.cva-auctions.co.uk/motorvehicleinspectionreport/standard/10035.pdf,"https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BJ22KHY/e01.jpg?40a13bfc674a287272a2b54c995b3fdd,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BJ22KHY/e02.jpg?40a13bfc674a287272a2b54c995b3fdd,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BJ22KHY/e03.jpg?40a13bfc674a287272a2b54c995b3fdd,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BJ22KHY/e04.jpg?40a13bfc674a287272a2b54c995b3fdd","https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BJ22KHY/e01.jpg?40a13bfc674a287272a2b54c995b3fdd,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BJ22KHY/e02.jpg?40a13bfc674a287272a2b54c995b3fdd,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BJ22KHY/e03.jpg?40a13bfc674a287272a2b54c995b3fdd,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BJ22KHY/e04.jpg?40a13bfc674a287272a2b54c995b3fdd",,"{'Additional Information': {'Length': '6.20m', 'Width': '2.07m', 'Height': '2.49m', 'Imported': ''}}",,,,,,,,,,,,,,,
VAN & CAR AUCTION,21,Commercial Vehicle Auctions LTD,FORD TRANSIT 350 2.2 TDCI 125PS,BJ64XBA,FORD,TRANSIT,350 2.2 TDCI 125PS,220,Panel Van L3,Diesel,MANUAL,Doncaster,2026-01-22,10:00:00,2014-12-18,2014,175075,Not Warranted,TBC,Expired,,Plus VAT,,2,2.2,"*WARNING LIGHT ON DASH, NO REAR ACCESS* SIDE LOAD DOOR",https://www.cva-auctions.co.uk/motorvehicleinspectionreport/standard/10394.pdf,"https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BJ64XBA/e01.jpg?08b5dfcdb15813c497fa4c5d75d58c85,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BJ64XBA/e02.jpg?08b5dfcdb15813c497fa4c5d75d58c85,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BJ64XBA/e03.jpg?08b5dfcdb15813c497fa4c5d75d58c85,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BJ64XBA/e04.jpg?08b5dfcdb15813c497fa4c5d75d58c85","https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BJ64XBA/e01.jpg?08b5dfcdb15813c497fa4c5d75d58c85,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BJ64XBA/e02.jpg?08b5dfcdb15813c497fa4c5d75d58c85,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BJ64XBA/e03.jpg?08b5dfcdb15813c497fa4c5d75d58c85,https://eu.cdn.autosonshow.tv/1319/autoimagewithtaggingandext360/BJ64XBA/e04.jpg?08b5dfcdb15813c497fa4c5d75d58c85",,"{'Additional Information': {'Length': '5.98m', 'Width': '2.47m', 'Height': '2.79m', 'Imported': ''}}",,,,,,,,,,,,,,,
