Auction Name,Sheet id,Auction House,Title,Reg,Make,Model,Variant,Lot,Body type,Fuel Type,Transmission,Center,Start Date,Start Time,D.O.R,Year,Mileage,Mileage Warranted,V5,MOT Expiry Date,Service History,VAT Status,Vendor,Former Keepers,CC,Service Notes,Inspection Report,Images,Damaged_images,Damage_details,Additional Information,Colour,Keys,CAP Clean,CAP Below,CAP Average,Features,General Condition,Grade
Commercial,22,East Anglian Motor Auctions,2016 TOYOTA HILUX,AE16OZR,TOYOTA,HILUX,Invincible D/Cab Pick Up 3.0 D-4D 4WD 171,141,Light 4X4 Utility,Diesel,MANUAL,EAMA,15/01/2026,10am,31/03/2016,2016,130595,,Here,-,,Plus VAT,,,3.0,,https://www.eama-norwich.co.uk/motorvehicleinspectionreport/standard/5333.pdf,"https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5333/images/1768313970_Fuwo7J.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5333/images/1768313979_Ai8GcE.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5333/images/1768313989_Rentb6.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5333/images/1768313998_r73mq9.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5333/images/1768314007_lBoXOK.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5333/images/1768314026_gnfsRz.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5333/images/1768314045_V2dE7u.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5333/images/1768314053_yoYi0q.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5333/images/1768314056_QBYBgf.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5333/images/1768314064_ZTFN0Z.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5333/images/1768314070_Mipmop.jpg",,,{},RED,,Login to see this,Login to see this,Login to see this,PRIVATE VENDOR OWNED SINCE 03/2024,{},
Commercial,22,East Anglian Motor Auctions,2018 VAUXHALL CORSA,AK18MDO,VAUXHALL,CORSA,CDTI ECOTEC S/S,104,Car Derived Van,Diesel,MANUAL,EAMA,15/01/2026,10am,22/05/2018,2018,103752,,Here,01/09/2026,,Plus VAT,,,1.2,,https://www.eama-norwich.co.uk/motorvehicleinspectionreport/standard/5128.pdf,"https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5128/images/1767704083_YCDeDp.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5128/images/1767704091_2EWIjn.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5128/images/1767704102_N9ArhN.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5128/images/1767704111_cXBi9Z.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5128/images/1767704126_NpQUCQ.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5128/images/1767704137_G8eu1C.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5128/images/1767704162_2Kuldc.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5128/images/1767704168_tljtQT.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5128/images/1767704176_aEzcWZ.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5128/images/1767704187_T1wMU0.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5128/images/1767704199_Y9iyVd.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5128/images/1767704204_EiSNTL.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5128/images/1767704214_GT8HYU.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5128/images/1767704235_zfALfQ.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5128/images/1767704241_tbiCXA.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5128/images/1767704265_sGxr0T.jpg",,,{},WHITE,,Login to see this,Login to see this,Login to see this,COMPANY ENTRY - OWNED SINCE  2022,{},
Commercial,22,East Anglian Motor Auctions,2019 CITROEN DISPATCH,BF19ZSW,CITROEN,DISPATCH,1000 1.6 BlueHDi 115 Van Enterprise,120,Panel Van,Diesel,MANUAL,EAMA,15/01/2026,10am,27/03/2019,2019,132560,,Here,01/04/2026,,Plus VAT,,,1.6,,https://www.eama-norwich.co.uk/motorvehicleinspectionreport/standard/5304.pdf,"https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5304/images/1768304798_WTyJAm.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5304/images/1768304805_6wzkQH.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5304/images/1768304812_EWnwWy.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5304/images/1768304825_gQSoKF.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5304/images/1768304835_odQRpl.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5304/images/1768304845_qbbG7z.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5304/images/1768304871_zhU2pR.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5304/images/1768304886_Tx7bZq.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5304/images/1768304893_bssCkM.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5304/images/1768304897_hOtRj9.jpg",,,{},GREY,,Login to see this,Login to see this,Login to see this,COMPANY ENTRY - OWNED SINCE 2022,{},
Commercial,22,East Anglian Motor Auctions,2019 NISSAN NV400,BX68BDV,NISSAN,NV400,DCI SE SHR C/C,107,Dropside Lorry,Diesel,MANUAL,EAMA,15/01/2026,10am,01/01/2019,2019,171646,,Here,01/05/2026,,Plus VAT,,,2.3,,https://www.eama-norwich.co.uk/motorvehicleinspectionreport/standard/5248.pdf,"https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5248/images/1767711193_BreldS.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5248/images/1767711200_uN3ShR.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5248/images/1767711211_9r4s8W.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5248/images/1767711255_5Bx0di.jpg",,,{},WHITE,,Login to see this,Login to see this,Login to see this,DROPSIDE WITH TAIL LIFTNON RUNNER,{},
Commercial,22,East Anglian Motor Auctions,2016 VOLKSWAGEN TRANSPORTER,DH65HRO,VOLKSWAGEN,TRANSPORTER,2.0 TDI BMT 102 Trendline Van,138,Van With Side Windows,Diesel,MANUAL,EAMA,15/01/2026,10am,05/02/2016,2016,122609,,To Follow,01/06/2026,,Margin,,,2.0,,https://www.eama-norwich.co.uk/motorvehicleinspectionreport/standard/5335.pdf,"https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5335/images/1768319838_GeBqCo.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5335/images/1768319846_kWCeU6.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5335/images/1768319858_mq4xdA.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5335/images/1768319903_T4hmwO.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5335/images/1768319892_CsOm7V.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5335/images/1768319895_nk0Ods.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5335/images/1768319919_V9FbIw.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5335/images/1768319923_cCWirr.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5335/images/1768319933_3TmvB8.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5335/images/1768319968_cIht2B.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5335/images/1768319990_wcAv3D.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5335/images/1768319997_dbVzFU.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5335/images/1768320026_glK844.jpg",,,{},SILVER,,Login to see this,Login to see this,Login to see this,POWER STEERING U/SREGISTERED AS VAN WITH SIDE WINDOWS,{},
Commercial,22,East Anglian Motor Auctions,2013 MITSUBISHI L200,DU63UWK,MITSUBISHI,L200,DI-D 4X4 BARBARIAN LB DCB,117,Pick-up,Diesel,MANUAL,EAMA,15/01/2026,10am,12/09/2013,2013,117389,,Here,17/12/2025,,Margin,,,2.5,,https://www.eama-norwich.co.uk/motorvehicleinspectionreport/standard/5152.pdf,"https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5152/images/1767783864_YIqf9Q.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5152/images/1767783872_VOz3yL.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5152/images/1767783883_vrHOE0.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5152/images/1767783898_X2g7KE.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5152/images/1767783945_vTnItA.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5152/images/1767783953_aYBBir.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5152/images/1767783956_YnnXZM.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5152/images/1767783959_03NMSw.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5152/images/1767783964_AyJvkb.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5152/images/1767783969_172UvJ.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5152/images/1767783973_vJ02td.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5152/images/1767783977_DKgEId.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5152/images/1767783985_pjVr1f.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5152/images/1767783990_4TmrGF.jpg",,,{},BLACK,,Login to see this,Login to see this,Login to see this,TIMING BELT REPLACED 05.2025BATTERY REPLACED 07.2021,{},
Commercial,22,East Anglian Motor Auctions,2014 TOYOTA HILUX DIESEL,FL64XAV,TOYOTA,HILUX DIESEL,Active D/Cab Pick Up 2.5 D-4D 4WD 144,132,Light 4X4 Utility,Diesel,MANUAL,EAMA,15/01/2026,10am,10/11/2014,2014,149100,,Here,01/03/2026,,Plus VAT,,,2.5,,https://www.eama-norwich.co.uk/motorvehicleinspectionreport/standard/5327.pdf,"https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5327/images/1768321551_4yCO01.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5327/images/1768321562_ya4HDO.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5327/images/1768321591_Z7slWT.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5327/images/1768321601_xvQH2J.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5327/images/1768321621_UFn6GP.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5327/images/1768321613_27Lrtn.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5327/images/1768321623_jcU0W0.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5327/images/1768321632_SVIVMp.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5327/images/1768321635_aJyQlk.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5327/images/1768321643_KSvt5g.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5327/images/1768321650_SXJvgv.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5327/images/1768321693_48EcN6.jpg",,,{},WHITE,,Login to see this,Login to see this,Login to see this,COMPANY ENTRY - OWNED SINCE 2024*MOT FAILURE 01/26 - SEE VOSA*,{},
Commercial,22,East Anglian Motor Auctions,2019 CITROEN DISPATCH,KR69MLZ,CITROEN,DISPATCH,1400 2.0 BlueHDi 120 Van X,123,Panel Van,Diesel,MANUAL,EAMA,15/01/2026,10am,15/10/2019,2019,196859,,Here,01/04/2026,,Plus VAT,,,1.5,,https://www.eama-norwich.co.uk/motorvehicleinspectionreport/standard/5303.pdf,"https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5303/images/1768302280_R4DyG5.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5303/images/1768302291_6OpmOq.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5303/images/1768302299_t7m0Bj.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5303/images/1768302310_IHSl6c.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5303/images/1768302318_9AGhT9.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5303/images/1768302328_yXA1Uk.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5303/images/1768302338_PPi1iN.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5303/images/1768302357_apPOsD.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5303/images/1768302362_QJzKqi.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5303/images/1768302364_Ik4toa.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5303/images/1768304176_pwQPBC.jpg",,,{},WHITE,,Login to see this,Login to see this,Login to see this,COMPANY ENTRY - OWNED SINCE 2022,{},
Commercial,22,East Anglian Motor Auctions,2014 MERCEDES-BENZ SPRINTER 313CDI MEDIUM DIESEL,KX64WCU,MERCEDES-BENZ,SPRINTER 313CDI MEDIUM DIESEL,3.5t Van,103,Panel Van,Diesel,MANUAL,EAMA,15/01/2026,10am,13/11/2014,2014,133648,,Here,01/01/2027,,Plus VAT,,,2.1,,https://www.eama-norwich.co.uk/motorvehicleinspectionreport/standard/5332.pdf,"https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5332/images/1768311164_80JhLA.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5332/images/1768311175_mkvI8x.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5332/images/1768311182_dM4c0L.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5332/images/1768311185_i9OXay.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5332/images/1768311198_v7R7a3.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5332/images/1768311206_6xy99g.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5332/images/1768311220_QtHIBC.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5332/images/1768311227_QnW8tF.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5332/images/1768311286_4VCiKs.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5332/images/1768311291_B7Zlgw.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5332/images/1768311300_ye4xc6.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5332/images/1768311303_0TmjUh.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5332/images/1768311306_ybnCNg.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5332/images/1768311311_u1DtY0.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5332/images/1768311320_RgrHZ8.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5332/images/1768311326_slqhKB.jpg",,,{},WHITE,,Login to see this,Login to see this,Login to see this,WELFARE VAN,{},
Commercial,22,East Anglian Motor Auctions,2018 NISSAN NT400 CABSTAR,ND18CEN,NISSAN,NT400 CABSTAR,35.13 dCi Dropside,129,Pick-up,Diesel,MANUAL,EAMA,15/01/2026,10am,19/06/2018,2018,129125,,To Follow,01/11/2024,,Plus VAT,,,3.0,,https://www.eama-norwich.co.uk/motorvehicleinspectionreport/standard/5326.pdf,"https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5326/images/1768310297_bBITY5.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5326/images/1768311046_SLzNS4.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5326/images/1768311059_taluW0.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5326/images/1768311064_AelAI9.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5326/images/1768311069_V80zRU.jpg, https://eama-prod-data-s3-public.s3.eu-west-1.amazonaws.com/motorvehicle/5326/images/1768311071_Mjr7G5.jpg",,,{},WHITE,,Login to see this,Login to see this,Login to see this,COMPANY ENTRY - OWNED FROM NEW,{},
