Auction Name,Sheet id,Auction House,Title,Reg,Make,Model,Variant,Lot,Body type,Fuel Type,Transmission,Center,Start Date,Start Time,D.O.R,Year,Mileage,Mileage Warranted,V5,MOT Expiry Date,Service History,VAT Status,Vendor,Former Keepers,CC,Service Notes,Inspection Report,Images,Damaged_images,Damage_details,Additional Information,Colour,Keys,CAP Clean,CAP Below,CAP Average,Features,General Condition,Grade,Doors,Seats,MOT Due,Euro Status
BMA,23,East Anglian Motor Auctions,VAUXHALL CORSA 1.4T ecoFLEX SRi,AF17GYJ,VAUXHALL,CORSA,1.4T ecoFLEX SRi,36,Hatchback,Petrol,MANUAL,Bridlington,Tue 20th Jan,18:00,22/03/2017,2017,100085,Warranted,Here,,,Margin,,1,1.4,,https://www.bridlingtonmotorauction.co.uk/motorvehicleinspectionreport/standard/3492.pdf,"https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3492/images/1767360255_jcuOg7.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3492/images/1767360263_WMUmb5.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3492/images/1767360268_aPxBwV.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3492/images/1767360272_avOA89.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3492/images/1767360280_2dPK68.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3492/images/1767360286_fxqYh7.jpg",,,"{'Additional Information': {'MOT Due': 'Expired', 'Former Keepers': '1', 'Body Style': 'Hatchback', 'BHP': ['99', '99'], 'Gross Weight': '1680', 'Euro Status': '6', 'Euro': '6', 'CO2': '119', 'MPG Combined': '55.4', 'MPG Urban': '44.1', 'MPG Extra Urban': '65.7'}}",GREY,,"£1,975.00","£1,125.00","£1,550.00",,{},,3,,Expired,6
BMA,23,East Anglian Motor Auctions,MINI COUPE Cooper S,AV14FFH,MINI,COUPE,Cooper S,79,Coupe,Petrol,MANUAL,Bridlington,Tue 20th Jan,18:00,28/03/2014,2014,102936,Not Warranted,Here,,,Margin,,2,1.6,,https://www.bridlingtonmotorauction.co.uk/motorvehicleinspectionreport/standard/2929.pdf,"https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/2929/images/1762180068_Hc4Fw8.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/2929/images/1762180077_BUF8kg.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/2929/images/1762180094_6w94wd.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/2929/images/1762180096_aOdmc5.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/2929/images/1762180102_bPP3nb.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/2929/images/1762180107_t7lAS5.jpg",,,"{'Additional Information': {'MOT Due': '04/09/2026', 'Former Keepers': '2', 'Body Style': 'Coupe', 'BHP': ['181', '181'], 'Gross Weight': '1455', 'Euro Status': '5', 'Euro': '5', 'CO2': '136', 'MPG Combined': '48.7', 'MPG Urban': '38.7', 'MPG Extra Urban': '56.5'}}",BLACK,,"£2,650.00","£1,725.00","£2,175.00",,{},,3,,04/09/2026,5
BMA,23,East Anglian Motor Auctions,MAZDA 3 TS,CN06TEU,MAZDA,3,TS,8,Hatchback,Petrol,MANUAL,Bridlington,Tue 20th Jan,18:00,19/05/2006,2006,104089,Not Warranted,Here,,,Margin,,2,1.6,,https://www.bridlingtonmotorauction.co.uk/motorvehicleinspectionreport/standard/3489.pdf,"https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3489/1767704205_mixPit.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3489/1767704206_RNKh07.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3489/1767704205_dVyidm.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3489/1767704205_lSa3ct.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3489/1767704205_1b0eV1.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3489/1767704205_xqgDeQ.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3489/1767704204_q7HSFQ.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3489/1767704204_eti5PA.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3489/1767704205_J59kHt.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3489/1767704205_74JUzZ.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3489/1767704206_7eZt7D.jpg",,,"{'Additional Information': {'MOT Due': 'Expired', 'Former Keepers': '2', 'Body Style': 'Hatchback', 'BHP': ['105', '105'], 'Gross Weight': '1695', 'Euro Status': '4', 'Euro': '4', 'CO2': '172', 'MPG Combined': '39.2', 'MPG Urban': '30.4', 'MPG Extra Urban': '47.1'}}",RED,,£430.00,£150.00,£170.00,,{},,5,,Expired,4
BMA,23,East Anglian Motor Auctions,MINI HATCHBACK One D,CX64LLT,MINI,HATCHBACK,One D,72,Hatchback,Diesel,MANUAL,Bridlington,Tue 20th Jan,18:00,19/01/2015,2015,119562,Not Warranted,Here,,,Margin,,2,1.5,,https://www.bridlingtonmotorauction.co.uk/motorvehicleinspectionreport/standard/3418.pdf,"https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3418/images/1765793717_ZEUyoQ.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3418/images/1765793725_Vm6ZfQ.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3418/images/1765793732_16M782.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3418/images/1765793738_r7RXR0.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3418/images/1765793748_2UPASG.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3418/images/1765793756_iSgX3h.jpg",,,"{'Additional Information': {'MOT Due': '03/05/2026', 'Former Keepers': '2', 'Body Style': 'Hatchback', 'BHP': ['94', '94'], 'Gross Weight': '1615', 'Euro Status': '6', 'Euro': '6', 'CO2': '89', 'MPG Combined': '83.1', 'MPG Urban': '72.4', 'MPG Extra Urban': '91.1'}}",BLUE,,"£1,800.00","£1,000.00","£1,400.00",,{},,3,,03/05/2026,6
BMA,23,East Anglian Motor Auctions,RENAULT KANGOO Expression Auto,DK54JFA,RENAULT,KANGOO,Expression Auto,12,MPV,Petrol,AUTOMATIC,Bridlington,Tue 20th Jan,18:00,15/12/2004,2004,69736,Not Warranted,Here,,,Margin,, ,1.6,,https://www.bridlingtonmotorauction.co.uk/motorvehicleinspectionreport/standard/3543.pdf,"https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3543/1767709114_KUr8q9.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3543/1767709114_mspUEw.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3543/1767709115_RGDfgs.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3543/1767709115_udn3Om.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3543/1767709115_n2zBsd.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3543/1767709114_WZPOxd.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3543/1767709115_OoSB71.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3543/1767709115_d3lheo.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3543/1767709115_Ydjk27.jpg",,,"{'Additional Information': {'MOT Due': 'Expired', 'Body Style': 'MPV', 'BHP': ['95', '95'], 'Gross Weight': '1645', 'Euro Status': '4', 'Euro': '4', 'CO2': '190', 'MPG Combined': '35.3', 'MPG Urban': '25.7', 'MPG Extra Urban': '44.8'}}",BLUE,,£0.00,£0.00,£0.00,,{},,5,,Expired,4
BMA,23,East Anglian Motor Auctions,VAUXHALL VIVARO 2900 1.5d 100PS Dynamic H1 Van,DU70XOL,VAUXHALL,VIVARO,2900 1.5d 100PS Dynamic H1 Van,90,Panel Van,Diesel,MANUAL,Bridlington,Tue 20th Jan,18:00,01/09/2020,2020,70806,Not Warranted,Buyer To Apply,,,Plus VAT,, ,1.5,,https://www.bridlingtonmotorauction.co.uk/motorvehicleinspectionreport/standard/3540.pdf,"https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3540/images/1767711000_YqAVYP.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3540/images/1767711006_PZowMG.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3540/images/1767711013_JoYiGJ.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3540/images/1767711020_xAiepO.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3540/images/1767711024_mn7ffF.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3540/images/1767711028_WPtgYT.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3540/images/1767711033_296C0g.jpg",,,"{'Additional Information': {'MOT Due': '17/12/2026', 'Body Style': 'Panel Van', 'BHP': ['101', '101'], 'Gross Weight': '2830', 'Euro Status': '6', 'Euro': '6', 'CO2': '186', 'MPG Combined': '44.8', 'MPG Urban': '45.6', 'MPG Extra Urban': '64.2'}}",WHITE,,"£7,775.00","£5,450.00","£6,825.00",,{},,,,17/12/2026,6
BMA,23,East Anglian Motor Auctions,BMW 2 SERIES 218d SE,EF14GWM,BMW,2 SERIES,218d SE,65,Coupe,Diesel,MANUAL,Bridlington,Tue 20th Jan,18:00,25/06/2014,2014,97933,Not Warranted,Here,,,Margin,, ,2.0,,https://www.bridlingtonmotorauction.co.uk/motorvehicleinspectionreport/standard/3406.pdf,"https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3406/images/1765284742_y7C89A.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3406/images/1765284751_H8ZMZ8.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3406/images/1765284757_lnpME9.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3406/images/1765284765_E0MliM.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3406/images/1765284775_yARyDa.jpg",,,"{'Additional Information': {'MOT Due': '04/03/2026', 'Body Style': 'Coupe', 'BHP': ['141', '141'], 'Gross Weight': '1760', 'Euro Status': '6', 'Euro': '6', 'CO2': '119', 'MPG Combined': '62.8', 'MPG Urban': '51.4', 'MPG Extra Urban': '72.4'}}",RED,,"£4,300.00","£3,100.00","£3,700.00",,{},,2,,04/03/2026,6
BMA,23,East Anglian Motor Auctions,FORD ECOSPORT EcoBoost 140 ST-Line,FA18HBH,FORD,ECOSPORT,EcoBoost 140 ST-Line,47,Hatchback,Petrol,MANUAL,Bridlington,Tue 20th Jan,18:00,29/07/2018,2018,42640,Not Warranted,Buyer To Apply,,,Margin,, ,1.0,,https://www.bridlingtonmotorauction.co.uk/motorvehicleinspectionreport/standard/3556.pdf,"https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3556/1767707223_bBjntX.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3556/1767707223_EEY6Tg.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3556/1767707223_eRqed3.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3556/1767707223_S415tc.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3556/1767707223_1VVpC1.jpg",,,"{'Additional Information': {'MOT Due': '31/07/2026', 'Body Style': 'Hatchback', 'BHP': ['138', '138'], 'Gross Weight': '1730', 'Euro Status': '6', 'Euro': '6', 'CO2': '124', 'MPG Combined': '43.5', 'MPG Urban': '45.6', 'MPG Extra Urban': '60.1'}}",BLUE,,"£6,600.00","£4,850.00","£5,700.00",,{},,5,,31/07/2026,6
BMA,23,East Anglian Motor Auctions,FORD ECOSPORT EcoBoost Zetec,FA66EMF,FORD,ECOSPORT,EcoBoost Zetec,67,Hatchback,Petrol,MANUAL,Bridlington,Tue 20th Jan,18:00,22/02/2017,2017,63183,Warranted,Here,,,Margin,,1,1.0,,https://www.bridlingtonmotorauction.co.uk/motorvehicleinspectionreport/standard/3544.pdf,"https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3544/1767698579_eizDWc.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3544/1767698580_6LNUe9.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3544/1767698581_ountWb.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3544/1767698581_HGvTEM.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3544/1767698581_QGYvLS.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3544/1767698579_NNJCS9.jpg, https://filestore-test-public.s3.eu-west-1.amazonaws.com/motorvehicle/3544/1767698580_cNMKjn.jpg",,,"{'Additional Information': {'MOT Due': '24/02/2026', 'Former Keepers': '1', 'Body Style': 'Hatchback', 'BHP': ['123', '123'], 'Gross Weight': '1730', 'Euro Status': '6', 'Euro': '6', 'CO2': '125', 'MPG Combined': '52.3', 'MPG Urban': '42.8', 'MPG Extra Urban': '60.1'}}",YELLOW,,"£2,450.00","£1,550.00","£2,000.00",,{},,5,,24/02/2026,6
BMA,23,East Anglian Motor Auctions,TOYOTA AYGO VVT-i Platinum [AC] MMT,FD09SWY,TOYOTA,AYGO,VVT-i Platinum [AC] MMT,(tbc),Hatchback,Petrol,SEMI AUTO,Bridlington,Tue 20th Jan,18:00,20/07/2009,2009,92000,TBC,TBC,,,Margin,, ,1.0,,https://www.bridlingtonmotorauction.co.uk/motorvehicleinspectionreport/standard/3635.pdf,,,,"{'Additional Information': {'MOT Due': '01/07/2026', 'Body Style': 'Hatchback', 'BHP': ['67.0', '67.0'], 'Gross Weight': '1190', 'Euro Status': '4', 'Euro': '4', 'CO2': '107', 'MPG Combined': '61.4', 'MPG Urban': '51.4', 'MPG Extra Urban': '68.9'}}",SILVER,,"£1,700.00",£900.00,"£1,300.00",,{},,5,,01/07/2026,4
