Title,Auction Name,Sheet id,Auction House,Make,Model,Variant,Lot,Reg,Start Time,Start Date,D.O.R,Fuel Type,Former Keepers,Transmission,Colour,MOT Expiry Date,Keys,VAT Status,V5,CAP Clean,CAP Average,CAP Below,CC,Mileage,Mileage Warranted,MOT Due,Body Type,Additional information,General Condition,Tyres Condition,Inspection Report,Images,Damaged_images,Damage_details
Toyota,ebca,24,ProTruck,Toyota,Rav 4,2.0 D-4D XT4 5dr,316,AO04KJX,15:00,-,27/03/2004,Diesel,1,MANUAL,RED,28/03/2026,3,Margin,Here,£0.00,£0.00,£0.00,0.2,,Warranted,28/03/2026,Estate,"{'information': {'Keys': '3', 'Service history': 'yes', 'Service documents': 'Service Book', 'Number of stamps': '16', 'Last service date': '22/03/2023', 'Last service miles': '85,547', 'MOT Due': '28/03/2026', 'Former Keepers': '1', 'Body Style': 'Estate', 'Hubs': 'Alloy', 'BHP': '114', 'Gross Weight': '1930', 'Euro Status': '3', 'Euro': '3', 'CO2': '190', 'MPG Combined': '39.8', 'MPG Urban': '31.7', 'MPG Extra Urban': '46.3'}}","{
    ""Interior"": {
        ""Registration"": ""AO04KJX"",
        ""Registered"": ""27/03/2004"",
        ""Miles"": ""93,497 Miles"",
        ""Miles Warranted"": ""Warranted"",
        ""Former Keepers"": ""1"",
        ""Fuel"": ""Diesel"",
        ""Transmission"": ""MANUAL"",
        ""Colour"": ""RED"",
        ""VAT"": ""Margin"",
        ""MOT"": ""28/03/2026"",
        ""V5"": ""Here"",
        ""Keys"": ""3"",
        ""CC"": ""1995"",
        ""Service history"": ""Yes"",
        ""Service documents"": ""Service Book"",
        ""Number of stamps"": ""16"",
        ""Last service date"": ""22/03/2023"",
        ""Last service miles"": ""85,547"",
        ""Vendor"": ""St Leonards Motor Group"",
        ""CAP Clean"": ""\u00a30.00"",
        ""CAP Average"": ""\u00a30.00"",
        ""CAP Below"": ""\u00a30.00""
    }
}",,https://www.protruckauctions.co.uk/motorvehicleinspectionreport/standard/6735.pdf,,,
Ford,ebca,24,ProTruck,Ford,Focus,1.6 TDCi 115 Zetec S 5dr,317,AU64WOR,15:00,-,30/09/2014,Diesel,2,MANUAL,BLUE,11/10/2026,2,Margin,Here,"£1,925.00","£1,500.00","£1,050.00",0.2,,Warranted,11/10/2026,Hatchback,"{'information': {'Keys': '2', 'Service history': 'yes', 'Service documents': 'Service Book', 'Number of stamps': '5', 'Last service date': '05/02/2025', 'MOT Due': '11/10/2026', 'Former Keepers': '2', 'Body Style': 'Hatchback', 'Hubs': 'Alloy', 'BHP': '113', 'Gross Weight': '1900', 'Euro Status': '5', 'Euro': '5', 'CO2': '109', 'MPG Combined': '67.3', 'MPG Urban': '55.4', 'MPG Extra Urban': '76.4'}}","{
    ""Interior"": {
        ""Registration"": ""AU64WOR"",
        ""Registered"": ""30/09/2014"",
        ""Miles"": ""116,953 Miles"",
        ""Miles Warranted"": ""Warranted"",
        ""Former Keepers"": ""2"",
        ""Fuel"": ""Diesel"",
        ""Transmission"": ""MANUAL"",
        ""Colour"": ""BLUE"",
        ""VAT"": ""Margin"",
        ""MOT"": ""11/10/2026"",
        ""V5"": ""Here"",
        ""Keys"": ""2"",
        ""CC"": ""1560"",
        ""Service history"": ""Yes"",
        ""Service documents"": ""Service Book"",
        ""Number of stamps"": ""5"",
        ""Last service date"": ""05/02/2025"",
        ""Vendor"": ""St Leonards Motor Group"",
        ""CAP Clean"": ""\u00a31,925.00"",
        ""CAP Average"": ""\u00a31,500.00"",
        ""CAP Below"": ""\u00a31,050.00""
    }
}",,https://www.protruckauctions.co.uk/motorvehicleinspectionreport/standard/6737.pdf,,,
Mazda,ebca,24,ProTruck,Mazda,MX-5,2.0i [Option Pack] 2dr,290,BF07CJZ,15:00,-,01/03/2007,Petrol,3,MANUAL,GREY,21/08/2026,2,Margin,Here,"£1,625.00","£1,225.00",£825.00,0.2,,Warranted,21/08/2026,Convertible,"{'information': {'Keys': '2', 'Service history': 'yes', 'Service documents': 'Printout', 'Number of stamps': '5', 'Last service date': '23/08/2017', 'MOT Due': '21/08/2026', 'Former Keepers': '3', 'Body Style': 'Convertible', 'Hubs': 'Alloy', 'BHP': '160', 'Gross Weight': '1355', 'Euro Status': '4', 'Euro': '4', 'CO2': '183', 'MPG Combined': '36.7', 'MPG Urban': '26.7', 'MPG Extra Urban': '47.1'}}","{
    ""Interior"": {
        ""Registration"": ""BF07CJZ"",
        ""Registered"": ""01/03/2007"",
        ""Miles"": ""54,028 Miles"",
        ""Miles Warranted"": ""Warranted"",
        ""Former Keepers"": ""3"",
        ""Fuel"": ""Petrol"",
        ""Transmission"": ""MANUAL"",
        ""Colour"": ""GREY"",
        ""VAT"": ""Margin"",
        ""MOT"": ""21/08/2026"",
        ""V5"": ""Here"",
        ""Keys"": ""2"",
        ""CC"": ""1999"",
        ""Service history"": ""Yes"",
        ""Service documents"": ""Printout"",
        ""Number of stamps"": ""5"",
        ""Last service date"": ""23/08/2017"",
        ""Vendor"": ""Yeomans Group"",
        ""CAP Clean"": ""\u00a31,625.00"",
        ""CAP Average"": ""\u00a31,225.00"",
        ""CAP Below"": ""\u00a3825.00""
    }
}",,https://www.protruckauctions.co.uk/motorvehicleinspectionreport/standard/6539.pdf,,,
Peugeot,ebca,24,ProTruck,Peugeot,2008,1.2 VTi Allure 5dr,263,BG15MLN,15:00,-,29/04/2015,Petrol,3,MANUAL,RED,26/02/2026,2,Margin,Here,"£1,675.00","£1,275.00",£900.00,0.1,,Warranted,26/02/2026,Hatchback,"{'information': {'Keys': '2', 'Service history': 'yes', 'Service documents': 'Service Book', 'Number of stamps': '10', 'Last service date': '20/02/2025', 'Last service miles': '75,592', 'MOT Due': '26/02/2026', 'Former Keepers': '3', 'Body Style': 'Hatchback', 'Hubs': 'Alloy', 'BHP': '82', 'Gross Weight': '1582', 'Euro Status': '5', 'Euro': '5', 'CO2': '114', 'MPG Combined': '57.7', 'MPG Urban': '47.1', 'MPG Extra Urban': '65.7'}}","{
    ""Interior"": {
        ""Registration"": ""BG15MLN"",
        ""Registered"": ""29/04/2015"",
        ""Miles"": ""84,345 Miles"",
        ""Miles Warranted"": ""Warranted"",
        ""Former Keepers"": ""3"",
        ""Fuel"": ""Petrol"",
        ""Transmission"": ""MANUAL"",
        ""Colour"": ""RED"",
        ""VAT"": ""Margin"",
        ""MOT"": ""26/02/2026"",
        ""V5"": ""Here"",
        ""Keys"": ""2"",
        ""CC"": ""1200"",
        ""Service history"": ""Yes"",
        ""Service documents"": ""Service Book"",
        ""Number of stamps"": ""10"",
        ""Last service date"": ""20/02/2025"",
        ""Last service miles"": ""75,592"",
        ""Vendor"": ""St Leonards Motor Group"",
        ""CAP Clean"": ""\u00a31,675.00"",
        ""CAP Average"": ""\u00a31,275.00"",
        ""CAP Below"": ""\u00a3900.00""
    }
}",,https://www.protruckauctions.co.uk/motorvehicleinspectionreport/standard/6701.pdf,,,
Ford,ebca,24,ProTruck,Ford,Mondeo,1.5 EcoBoost 165 Zetec Edition 5dr,395,BG19KFD,15:00,-,08/03/2019,Petrol,1,MANUAL,BLACK,31/01/2026,2,Margin,Here,"£3,100.00","£2,600.00","£2,125.00",0.1,,Warranted,31/01/2026,Hatchback,"{'information': {'Keys': '2', 'Service history': 'yes', 'Service documents': 'Service Book', 'Number of stamps': '6', 'Last service date': '03/12/2024', 'Last service miles': '125,862', 'MOT Due': '31/01/2026', 'Former Keepers': '1', 'Body Style': 'Hatchback', 'Hubs': 'Alloy', 'BHP': '162', 'Euro Status': '6', 'Euro': '6', 'CO2': '150', 'MPG Combined': '36.7', 'MPG Urban': '34', 'MPG Extra Urban': '50.4'}}","{
    ""Interior"": {
        ""Registration"": ""BG19KFD"",
        ""Registered"": ""08/03/2019"",
        ""Miles"": ""143,694 Miles"",
        ""Miles Warranted"": ""Warranted"",
        ""Former Keepers"": ""1"",
        ""Fuel"": ""Petrol"",
        ""Transmission"": ""MANUAL"",
        ""Colour"": ""BLACK"",
        ""VAT"": ""Margin"",
        ""MOT"": ""31/01/2026"",
        ""V5"": ""Here"",
        ""Keys"": ""2"",
        ""CC"": ""1498"",
        ""Service history"": ""Yes"",
        ""Service documents"": ""Service Book"",
        ""Number of stamps"": ""6"",
        ""Last service date"": ""03/12/2024"",
        ""Last service miles"": ""125,862"",
        ""Vendor"": ""Caffyns Group"",
        ""CAP Clean"": ""\u00a33,100.00"",
        ""CAP Average"": ""\u00a32,600.00"",
        ""CAP Below"": ""\u00a32,125.00""
    }
}",,https://www.protruckauctions.co.uk/motorvehicleinspectionreport/standard/6261.pdf,,,
Volkswagen,ebca,24,ProTruck,Volkswagen,Polo,1.4 Match Edition 5dr,334,BG63VRY,15:00,-,16/11/2013,Petrol,2,MANUAL,BROWN, ,1,Margin,Here,"£3,800.00","£3,275.00","£2,750.00",0.1,,Warranted, ,Hatchback,"{'information': {'Keys': '1', 'Service history': 'yes', 'Service documents': 'Printout', 'Number of stamps': '3', 'Last service date': '07/12/2023', 'Last service miles': '55,357', 'MOT Due': 'Expired', 'Former Keepers': '2', 'Body Style': 'Hatchback', 'Hubs': 'Alloy', 'BHP': '83', 'Gross Weight': '1550', 'Euro Status': '5', 'Euro': '5', 'CO2': '139', 'MPG Combined': '47.9', 'MPG Urban': '35.3', 'MPG Extra Urban': '60.1'}}","{
    ""Interior"": {
        ""Registration"": ""BG63VRY"",
        ""Registered"": ""16/11/2013"",
        ""Miles"": ""70,429 Miles"",
        ""Miles Warranted"": ""Warranted"",
        ""Former Keepers"": ""2"",
        ""Fuel"": ""Petrol"",
        ""Transmission"": ""MANUAL"",
        ""Colour"": ""BROWN"",
        ""VAT"": ""Margin"",
        ""MOT"": ""Expired"",
        ""V5"": ""Here"",
        ""Keys"": ""1"",
        ""CC"": ""1390"",
        ""Service history"": ""Yes"",
        ""Service documents"": ""Printout"",
        ""Number of stamps"": ""3"",
        ""Last service date"": ""07/12/2023"",
        ""Last service miles"": ""55,357"",
        ""Vendor"": ""Caffyns Group"",
        ""CAP Clean"": ""\u00a33,800.00"",
        ""CAP Average"": ""\u00a33,275.00"",
        ""CAP Below"": ""\u00a32,750.00""
    }
}",,https://www.protruckauctions.co.uk/motorvehicleinspectionreport/standard/6883.pdf,,,
Renault,ebca,24,ProTruck,Renault,Scenic,1.5 dCi Dynamique TomTom Energy 5dr [Start Stop],258,BJ62ZFB,15:00,-,10/01/2013,Diesel,1,MANUAL,SILVER,10/01/2027,2,Margin,Here,"£1,500.00","£1,100.00",£700.00,0.1,,Warranted,10/01/2027,MPV,"{'information': {'Keys': '2', 'Service history': 'yes', 'Service documents': 'Service Book', 'Number of stamps': '8', 'Last service date': '20/03/2025', 'Last service miles': '58,673', 'MOT Due': '10/01/2027', 'Former Keepers': '1', 'Body Style': 'MPV', 'Hubs': 'Alloy', 'BHP': '110', 'Gross Weight': '1967', 'Euro Status': '5', 'Euro': '5', 'CO2': '105', 'MPG Combined': '68.9', 'MPG Urban': '62.8', 'MPG Extra Urban': '72.4'}}","{
    ""Interior"": {
        ""Registration"": ""BJ62ZFB"",
        ""Registered"": ""10/01/2013"",
        ""Miles"": ""61,281 Miles"",
        ""Miles Warranted"": ""Warranted"",
        ""Former Keepers"": ""1"",
        ""Fuel"": ""Diesel"",
        ""Transmission"": ""MANUAL"",
        ""Colour"": ""SILVER"",
        ""VAT"": ""Margin"",
        ""MOT"": ""10/01/2027"",
        ""V5"": ""Here"",
        ""Keys"": ""2"",
        ""CC"": ""1461"",
        ""Service history"": ""Yes"",
        ""Service documents"": ""Service Book"",
        ""Number of stamps"": ""8"",
        ""Last service date"": ""20/03/2025"",
        ""Last service miles"": ""58,673"",
        ""Vendor"": ""St Leonards Motor Group"",
        ""CAP Clean"": ""\u00a31,500.00"",
        ""CAP Average"": ""\u00a31,100.00"",
        ""CAP Below"": ""\u00a3700.00""
    }
}",,https://www.protruckauctions.co.uk/motorvehicleinspectionreport/standard/6800.pdf,,,
Nissan,ebca,24,ProTruck,Nissan,Juke,1.6 Tekna 5dr,280,BJ63WKV,15:00,-,31/10/2013,Petrol,1,MANUAL,WHITE,11/12/2026,2,Margin,Here,"£1,600.00","£1,200.00",£825.00,0.2,,Warranted,11/12/2026,Hatchback,"{'information': {'Keys': '2', 'Service history': 'yes', 'Service documents': 'Service Book', 'Number of stamps': '11', 'Last service date': '29/11/2024', 'Last service miles': '104,529', 'MOT Due': '11/12/2026', 'Former Keepers': '1', 'Body Style': 'Hatchback', 'Hubs': 'Alloy', 'BHP': '117', 'Gross Weight': '1645', 'Euro Status': '5', 'Euro': '5', 'CO2': '139', 'MPG Combined': '47.1', 'MPG Urban': '36.7', 'MPG Extra Urban': '55.4'}}","{
    ""Interior"": {
        ""Registration"": ""BJ63WKV"",
        ""Registered"": ""31/10/2013"",
        ""Miles"": ""117,114 Miles"",
        ""Miles Warranted"": ""Warranted"",
        ""Former Keepers"": ""1"",
        ""Fuel"": ""Petrol"",
        ""Transmission"": ""MANUAL"",
        ""Colour"": ""WHITE"",
        ""VAT"": ""Margin"",
        ""MOT"": ""11/12/2026"",
        ""V5"": ""Here"",
        ""Keys"": ""2"",
        ""CC"": ""1598"",
        ""Service history"": ""Yes"",
        ""Service documents"": ""Service Book"",
        ""Number of stamps"": ""11"",
        ""Last service date"": ""29/11/2024"",
        ""Last service miles"": ""104,529"",
        ""Vendor"": ""St Leonards Motor Group"",
        ""CAP Clean"": ""\u00a31,600.00"",
        ""CAP Average"": ""\u00a31,200.00"",
        ""CAP Below"": ""\u00a3825.00""
    }
}",,https://www.protruckauctions.co.uk/motorvehicleinspectionreport/standard/6727.pdf,,,
Fiat,ebca,24,ProTruck,Fiat,500,1.2 Colour Therapy 3dr,265,BL64CGV,15:00,-,19/12/2014,Petrol,2,MANUAL,BEIGE,06/10/2026,2,Margin,Here,"£2,350.00","£1,900.00","£1,450.00",0.1,,Warranted,06/10/2026,Hatchback,"{'information': {'Keys': '2', 'Service history': 'yes', 'Service documents': 'Service Book', 'Number of stamps': '8', 'Last service date': '29/09/2025', 'Last service miles': '43,073', 'MOT Due': '06/10/2026', 'Former Keepers': '2', 'Body Style': 'Hatchback', 'Hubs': 'Steel', 'BHP': '69', 'Gross Weight': '1350', 'Euro Status': '6', 'Euro': '6', 'CO2': '113', 'MPG Combined': '58.9', 'MPG Urban': '49.6', 'MPG Extra Urban': '65.7'}}","{
    ""Interior"": {
        ""Registration"": ""BL64CGV"",
        ""Registered"": ""19/12/2014"",
        ""Miles"": ""43,961 Miles"",
        ""Miles Warranted"": ""Warranted"",
        ""Former Keepers"": ""2"",
        ""Fuel"": ""Petrol"",
        ""Transmission"": ""MANUAL"",
        ""Colour"": ""BEIGE"",
        ""VAT"": ""Margin"",
        ""MOT"": ""06/10/2026"",
        ""V5"": ""Here"",
        ""Keys"": ""2"",
        ""CC"": ""1242"",
        ""Service history"": ""Yes"",
        ""Service documents"": ""Service Book"",
        ""Number of stamps"": ""8"",
        ""Last service date"": ""29/09/2025"",
        ""Last service miles"": ""43,073"",
        ""Vendor"": ""Caffyns Group"",
        ""CAP Clean"": ""\u00a32,350.00"",
        ""CAP Average"": ""\u00a31,900.00"",
        ""CAP Below"": ""\u00a31,450.00""
    }
}",,https://www.protruckauctions.co.uk/motorvehicleinspectionreport/standard/6792.pdf,,,
Ford,ebca,24,ProTruck,Ford,S-Max,1.6 TDCi Zetec 5dr [Start Stop],400,BN64EBM,15:00,-,30/09/2014,Diesel,2,MANUAL,BLUE,24/11/2026,2,Margin,Here,"£1,625.00","£1,250.00",£850.00,0.2,,Warranted,24/11/2026,MPV,"{'information': {'Keys': '2', 'Service history': 'yes', 'Service documents': 'Service Book', 'Number of stamps': '2', 'Last service date': '21/11/2025', 'Last service miles': '119,123', 'MOT Due': '24/11/2026', 'Former Keepers': '2', 'Body Style': 'MPV', 'Hubs': 'Alloy', 'BHP': '115', 'Gross Weight': '2505', 'Euro Status': '5', 'Euro': '5', 'CO2': '139', 'MPG Combined': '54.3', 'MPG Urban': '47.9', 'MPG Extra Urban': '57.7'}}","{
    ""Interior"": {
        ""Registration"": ""BN64EBM"",
        ""Registered"": ""30/09/2014"",
        ""Miles"": ""120,472 Miles"",
        ""Miles Warranted"": ""Warranted"",
        ""Former Keepers"": ""2"",
        ""Fuel"": ""Diesel"",
        ""Transmission"": ""MANUAL"",
        ""Colour"": ""BLUE"",
        ""VAT"": ""Margin"",
        ""MOT"": ""24/11/2026"",
        ""V5"": ""Here"",
        ""Keys"": ""2"",
        ""CC"": ""1560"",
        ""Service history"": ""Yes"",
        ""Service documents"": ""Service Book"",
        ""Number of stamps"": ""2"",
        ""Last service date"": ""21/11/2025"",
        ""Last service miles"": ""119,123"",
        ""Vendor"": ""Birchwood Group"",
        ""CAP Clean"": ""\u00a31,625.00"",
        ""CAP Average"": ""\u00a31,250.00"",
        ""CAP Below"": ""\u00a3850.00""
    }
}",,https://www.protruckauctions.co.uk/motorvehicleinspectionreport/standard/6589.pdf,,,
