Lot,Bids List,Status,Last Bid,Registration
B1-073779 (no. 62),[],in_progress,,PXZ5984
63,"['£4,650', '£4,650', '£4,600']",sold,"£4,650",SD65URB
64,[],,,ND69WHK
64,[],,,ND69WHK
64,"['£4,300', '£4,300', '£4,250', '£4,200', '£4,150', '£4,100', '£4,000', '£3,900', '£3,800']",sold,"£4,300",ND69WHK
65,"['£5,000', '£5,000', '£4,950', '£4,900', '£4,800', '£4,700', '£4,600', '£4,500', '£4,400']",sold,"£5,000",YK68FFA
66,"['£7,425', '£7,425', '£7,400', '£7,375', '£7,350', '£7,300', '£7,200', '£7,100', '£7,000', '£6,900', '£6,800']",sold,"£7,425",KW17YHY
67,"['£8,125', '£8,125', '£8,100', '£8,075', '£8,050', '£8,025', '£8,000', '£7,975', '£7,950', '£7,900', '£7,850', '£7,800', '£7,700', '£7,600', '£7,500', '£7,400']",provisionally,"£8,125",PN19YBF
68,"['£7,150', '£7,150', '£7,125', '£7,100', '£7,075', '£7,050', '£7,025', '£7,000', '£6,975', '£6,950', '£6,925', '£6,900', '£6,875', '£6,850', '£6,825', '£6,800', '£6,750', '£6,700', '£6,650', '£6,600', '£6,550', '£6,500', '£6,400', '£6,300', '£6,200', '£6,100', '£6,000']",sold,"£7,150",NG18FNO
69,"['£5,500', '£5,500', '£5,475', '£5,450', '£5,400', '£5,300', '£5,200', '£5,100', '£5,000']",sold,"£5,500",NK17PSZ
70,"['£8,650', '£8,650', '£8,625', '£8,600', '£8,575', '£8,550', '£8,500', '£8,450', '£8,400', '£8,300', '£8,200', '£8,100', '£8,000']",provisionally,"£8,650",S80VOR
71,"['£8,450', '£8,450', '£8,400', '£8,350', '£8,300', '£8,250', '£8,200', '£8,100', '£8,000', '£7,900', '£7,800']",provisionally,"£8,450",SH66ORO
72,"['£11,850', '£11,850', '£11,800', '£11,700', '£11,600', '£11,500', '£11,400', '£11,200', '£11,000']",provisionally,"£11,850",PY68RBU
73,"['£8,850', '£8,850', '£8,800', '£8,750', '£8,700', '£8,650', '£8,600', '£8,550', '£8,500', '£8,450', '£8,400', '£8,350', '£8,300', '£8,250', '£8,200', '£8,100', '£8,000', '£7,900', '£7,800', '£7,700', '£7,600', '£7,500', '£7,400', '£7,300', '£7,200', '£7,100', '£7,000']",sold,"£8,850",NU68LML
