Reg,Bidding History
MF14KWP,"['LOT 1 PROVISIONALLY SOLD TO HALL £5,150', 'HALL: £5,150', 'HALL: £5,100', 'HALL: £5,000', 'LIVE: £4,900', 'HALL: £4,800', 'HALL: £4,700', 'HALL: £4,600', 'HALL BID FOR £4,600 WAS RETRACTED', 'LIVE: £4,600', 'STARTING: £4,500', 'Welcome to Aston Barclay Wakefield - 17580']"
SD67YSS,"['LOT 2 SOLD TO HALL FOR £5,950', 'HALL: £5,950', 'HALL: £5,900', 'HALL: £5,850', 'HALL: £5,800', 'HALL: £5,750', 'HALL: £5,700', 'HALL: £5,650', 'HALL: £5,600', 'HALL: £5,550', 'HALL: £5,500', 'HALL: £5,450', 'HALL: £5,400', 'HALL: £5,350', 'HALL: £5,300', 'HALL: £5,200', 'LIVE: £5,100', 'STARTING: £5,000']"
MC18SXD,"['LOT 3 SOLD TO LIVE FOR £12,800', 'NOW TAKING BIDS AT £50', 'LIVE: £12,800', 'LIVE: £12,700', 'LIVE: £12,600', 'STARTING: £12,500', 'LOT 2 SOLD TO HALL FOR £5,950', 'HALL: £5,950', 'HALL: £5,900', 'HALL: £5,850', 'HALL: £5,800', 'HALL: £5,750', 'HALL: £5,700', 'HALL: £5,650', 'HALL: £5,600', 'HALL: £5,550', 'HALL: £5,500', 'HALL: £5,450', 'HALL: £5,400', 'HALL: £5,350', 'HALL: £5,300', 'HALL: £5,200', 'LIVE: £5,100', 'STARTING: £5,000']"
SE19TYH,"['LOT 4 SOLD TO LIVE FOR £6,100', 'NOW TAKING BIDS AT £50', 'LIVE: £6,100', 'STARTING: £6,000', 'LOT 3 SOLD TO LIVE FOR £12,800', 'NOW TAKING BIDS AT £50', 'LIVE: £12,800', 'LIVE: £12,700', 'LIVE: £12,600', 'STARTING: £12,500', 'LOT 2 SOLD TO HALL FOR £5,950', 'HALL: £5,950', 'HALL: £5,900', 'HALL: £5,850', 'HALL: £5,800', 'HALL: £5,750', 'HALL: £5,700', 'HALL: £5,650', 'HALL: £5,600', 'HALL: £5,550', 'HALL: £5,500', 'HALL: £5,450', 'HALL: £5,400', 'HALL: £5,350', 'HALL: £5,300', 'HALL: £5,200', 'LIVE: £5,100', 'STARTING: £5,000']"
SJ65GEV,"['LOT 5 PROVISIONALLY SOLD TO LIVE £2,800', 'NOW TAKING BIDS AT £50', 'LIVE: £2,800', 'LIVE: £2,700', 'LIVE: £2,600', 'STARTING: £2,500', 'LOT 4 SOLD TO LIVE FOR £6,100', 'NOW TAKING BIDS AT £50', 'LIVE: £6,100', 'STARTING: £6,000', 'LOT 3 SOLD TO LIVE FOR £12,800', 'NOW TAKING BIDS AT £50', 'LIVE: £12,800', 'LIVE: £12,700', 'LIVE: £12,600', 'STARTING: £12,500', 'LOT 2 SOLD TO HALL FOR £5,950', 'HALL: £5,950', 'HALL: £5,900', 'HALL: £5,850', 'HALL: £5,800', 'HALL: £5,750', 'HALL: £5,700', 'HALL: £5,650', 'HALL: £5,600', 'HALL: £5,550', 'HALL: £5,500', 'HALL: £5,450', 'HALL: £5,400', 'HALL: £5,350', 'HALL: £5,300', 'HALL: £5,200', 'LIVE: £5,100', 'STARTING: £5,000']"
KT18HWX,"['LOT 6 SOLD TO LIVE FOR £7,700', 'LIVE: £7,700', 'LIVE: £7,600', 'LIVE: £7,500', 'LIVE: £7,400', 'LIVE: £7,300', 'LIVE: £7,200', 'LIVE: £7,100', 'STARTING: £7,000']"
OU66UPV,"['LOT 7 SOLD TO HALL FOR £5,700', 'HALL: £5,700', 'HALL: £5,600', 'HALL: £5,500', 'LIVE: £5,400', 'HALL: £5,300', 'HALL: £5,200', 'HALL: £5,100', 'HALL BID FOR £5,100 WAS RETRACTED', 'LIVE: £5,100', 'STARTING: £5,000', 'LOT 6 SOLD TO LIVE FOR £7,700', 'LIVE: £7,700', 'LIVE: £7,600', 'LIVE: £7,500', 'LIVE: £7,400', 'LIVE: £7,300', 'LIVE: £7,200', 'LIVE: £7,100', 'STARTING: £7,000']"
LD65WBF,"['LOT 9 PROVISIONALLY SOLD TO LIVE £2,200', 'LIVE: £2,200', 'LIVE: £2,100', 'STARTING: £2,000', 'STARTING: £2,500', 'LOT 7 SOLD TO HALL FOR £5,700', 'HALL: £5,700', 'HALL: £5,600', 'HALL: £5,500', 'LIVE: £5,400', 'HALL: £5,300', 'HALL: £5,200', 'HALL: £5,100', 'HALL BID FOR £5,100 WAS RETRACTED', 'LIVE: £5,100', 'STARTING: £5,000', 'LOT 6 SOLD TO LIVE FOR £7,700', 'LIVE: £7,700', 'LIVE: £7,600', 'LIVE: £7,500', 'LIVE: £7,400', 'LIVE: £7,300', 'LIVE: £7,200', 'LIVE: £7,100', 'STARTING: £7,000']"
FP68YCF,"['LOT 10 PROVISIONALLY SOLD TO HALL £3,800', 'HALL: £3,800', 'HALL: £3,700', 'HALL: £3,600', 'STARTING: £3,500', 'STARTING: £4,000']"
SG14SZL,"['LOT 15 SOLD TO HALL FOR £2,700', 'HALL: £2,700', 'LIVE: £2,600', 'STARTING: £2,500']"
